Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,19284 (6998 -- 100417),Stable,1 (0.8 -- 1.6),-0.0014 (-0.057 -- 0.15),-510 (4.8 -- -12)
Bavaria,19534 (5194 -- 148495),Stable,0.98 (0.68 -- 1.6),-0.0053 (-0.092 -- 0.16),-130 (4.3 -- -7.5)
Berlin,3677 (1692 -- 12792),Likely decreasing,0.95 (0.79 -- 1.3),-0.014 (-0.058 -- 0.083),-48 (8.3 -- -12)
Brandenburg,5041 (1564 -- 29415),Likely increasing,1.1 (0.83 -- 1.8),0.029 (-0.047 -- 0.2),24 (3.5 -- -15)
Bremen,1767 (617 -- 10750),Stable,0.99 (0.77 -- 1.5),-0.003 (-0.066 -- 0.14),-230 (5.1 -- -11)
Dolnośląskie,28 (16 -- 56),Likely decreasing,0.92 (0.8 -- 1.1),-0.024 (-0.057 -- 0.023),-29 (30 -- -12)
Germany,202682 (70368 -- 868516),Likely increasing,1.1 (0.79 -- 1.5),0.016 (-0.06 -- 0.14),43 (4.9 -- -12)
Hamburg,5152 (1688 -- 34885),Stable,1 (0.79 -- 1.7),0.0041 (-0.059 -- 0.17),170 (4 -- -12)
Hesse,16817 (4344 -- 131665),Stable,1 (0.68 -- 1.8),0.0086 (-0.093 -- 0.19),81 (3.6 -- -7.5)
Kujawsko-Pomorskie,15 (8 -- 33),Likely decreasing,0.91 (0.79 -- 1.1),-0.024 (-0.061 -- 0.031),-29 (23 -- -11)
Lower Saxony,34588 (11399 -- 195813),Likely increasing,1 (0.82 -- 1.7),0.013 (-0.051 -- 0.17),54 (4.1 -- -14)
Lubelskie,18 (11 -- 38),Likely decreasing,0.87 (0.79 -- 1.1),-0.038 (-0.06 -- 0.017),-18 (40 -- -12)
Lubuskie,19 (5 -- 69),Likely increasing,1.1 (0.69 -- 1.7),0.035 (-0.088 -- 0.17),20 (4.2 -- -7.9)
Mazowieckie,116 (71 -- 216),Likely decreasing,0.96 (0.86 -- 1.1),-0.01 (-0.038 -- 0.036),-68 (19 -- -18)
Małopolskie,47 (22 -- 116),Stable,0.98 (0.77 -- 1.3),-0.0054 (-0.066 -- 0.085),-130 (8.1 -- -11)
Mecklenburg-Vorpommern,3080 (647 -- 21123),Likely increasing,1.1 (0.66 -- 1.9),0.028 (-0.098 -- 0.22),25 (3.2 -- -7.1)
North Rhine-Westphalia,48690 (18831 -- 167344),Stable,1 (0.81 -- 1.5),0.0072 (-0.054 -- 0.12),96 (5.8 -- -13)
Opolskie,11 (5 -- 42),Likely decreasing,0.94 (0.72 -- 1.4),-0.017 (-0.081 -- 0.11),-41 (6.4 -- -8.5)
Podkarpackie,17 (10 -- 31),Likely decreasing,0.88 (0.76 -- 1),-0.033 (-0.067 -- 0.0034),-21 (210 -- -10)
Podlaskie,18 (9 -- 39),Likely decreasing,0.91 (0.74 -- 1.1),-0.026 (-0.075 -- 0.028),-27 (24 -- -9.3)
Poland,458 (293 -- 801),Likely decreasing,0.93 (0.82 -- 1.1),-0.019 (-0.051 -- 0.021),-37 (33 -- -14)
Pomorskie,29 (5 -- 58),Likely decreasing,0.91 (0.46 -- 1.1),-0.025 (-0.16 -- 0.024),-28 (29 -- -4.2)
Rhineland-Palatinate,11306 (2326 -- 80208),Likely increasing,1.1 (0.68 -- 1.8),0.025 (-0.091 -- 0.21),28 (3.3 -- -7.7)
Saarland,1969 (425 -- 13758),Stable,1 (0.65 -- 1.7),0.012 (-0.1 -- 0.18),59 (3.9 -- -6.9)
Saxony,7889 (1245 -- 88266),Likely increasing,1.2 (0.6 -- 2.2),0.045 (-0.12 -- 0.29),15 (2.4 -- -5.9)
Saxony-Anhalt,3824 (890 -- 26366),Likely increasing,1.2 (0.77 -- 2),0.044 (-0.067 -- 0.25),16 (2.8 -- -10)
Schleswig-Holstein,9374 (3471 -- 47682),Stable,1 (0.77 -- 1.5),0.0033 (-0.064 -- 0.14),210 (5.1 -- -11)
Thuringia,2428 (377 -- 24872),Likely increasing,1.2 (0.59 -- 2.3),0.044 (-0.12 -- 0.31),16 (2.2 -- -5.6)
Warmińsko-Mazurskie,5 (2 -- 10),Decreasing,0.85 (0.68 -- 0.96),-0.041 (-0.093 -- -0.012),-17 (-58 -- -7.5)
Wielkopolskie,24 (10 -- 51),Likely decreasing,0.95 (0.69 -- 1.2),-0.015 (-0.09 -- 0.04),-47 (17 -- -7.7)
Zachodniopomorskie,12 (6 -- 31),Likely decreasing,0.93 (0.81 -- 1.2),-0.019 (-0.055 -- 0.051),-37 (13 -- -13)
Łódzkie,21 (12 -- 42),Likely decreasing,0.9 (0.76 -- 1),-0.028 (-0.068 -- 0.012),-25 (57 -- -10)
Śląskie,64 (37 -- 130),Likely decreasing,0.92 (0.8 -- 1.1),-0.023 (-0.058 -- 0.039),-30 (18 -- -12)
Świętokrzyskie,10 (5 -- 18),Decreasing,0.88 (0.72 -- 0.97),-0.035 (-0.081 -- -0.0095),-20 (-73 -- -8.6)
