Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,6092 (3017 -- 12222),Increasing,1.4 (1 -- 1.8),0.1 (0.0065 -- 0.21),7 (3.4 -- 110)
Bavaria,6972 (2614 -- 19565),Likely increasing,1.3 (0.87 -- 1.9),0.085 (-0.037 -- 0.23),8.1 (3 -- -19)
Berlin,1973 (530 -- 7117),Stable,1.1 (0.63 -- 1.6),0.017 (-0.11 -- 0.16),40 (4.4 -- -6.5)
Brandenburg,531 (86 -- 2402),Likely increasing,1.1 (0.47 -- 1.9),0.03 (-0.16 -- 0.22),23 (3.1 -- -4.3)
Bremen,359 (153 -- 902),Likely increasing,1.2 (0.89 -- 1.6),0.057 (-0.03 -- 0.16),12 (4.2 -- -23)
Dolnośląskie,55 (24 -- 123),Likely increasing,1.1 (0.81 -- 1.4),0.021 (-0.052 -- 0.1),34 (6.7 -- -13)
Germany,39196 (23283 -- 64477),Likely increasing,1.2 (0.96 -- 1.5),0.06 (-0.012 -- 0.13),12 (5.3 -- -58)
Hamburg,674 (188 -- 1828),Likely decreasing,0.88 (0.52 -- 1.2),-0.033 (-0.14 -- 0.057),-21 (12 -- -4.8)
Hesse,3883 (2022 -- 8174),Increasing,1.3 (1 -- 1.7),0.085 (0.0034 -- 0.18),8.1 (3.8 -- 200)
Kujawsko-Pomorskie,43 (18 -- 102),Likely increasing,1.1 (0.79 -- 1.4),0.024 (-0.058 -- 0.11),28 (6.2 -- -12)
Lower Saxony,3382 (1566 -- 7754),Likely increasing,1.3 (0.94 -- 1.9),0.091 (-0.016 -- 0.23),7.6 (3.1 -- -44)
Lubelskie,20 (6 -- 56),Likely decreasing,0.78 (0.48 -- 1.1),-0.064 (-0.16 -- 0.04),-11 (17 -- -4.4)
Lubuskie,12 (2 -- 44),Stable,0.97 (0.5 -- 1.5),-0.0096 (-0.15 -- 0.12),-72 (5.6 -- -4.6)
Mazowieckie,128 (70 -- 243),Likely increasing,1.1 (0.87 -- 1.4),0.025 (-0.036 -- 0.098),28 (7.1 -- -19)
Małopolskie,104 (43 -- 296),Likely increasing,1.1 (0.8 -- 1.8),0.04 (-0.058 -- 0.19),17 (3.6 -- -12)
Mecklenburg-Vorpommern,388 (121 -- 1120),Likely increasing,1.1 (0.67 -- 1.6),0.026 (-0.097 -- 0.16),27 (4.4 -- -7.2)
North Rhine-Westphalia,22311 (12322 -- 39682),Increasing,1.4 (1.1 -- 1.8),0.11 (0.028 -- 0.2),6.4 (3.5 -- 25)
Opolskie,45 (16 -- 125),Likely increasing,1.3 (0.86 -- 1.8),0.067 (-0.038 -- 0.19),10 (3.6 -- -18)
Podkarpackie,60 (23 -- 170),Stable,1 (0.71 -- 1.5),0.0098 (-0.084 -- 0.13),71 (5.3 -- -8.3)
Podlaskie,56 (23 -- 133),Likely increasing,1.1 (0.82 -- 1.5),0.035 (-0.05 -- 0.12),20 (5.9 -- -14)
Poland,730 (494 -- 1090),Likely increasing,1.1 (0.92 -- 1.2),0.016 (-0.024 -- 0.063),42 (11 -- -29)
Pomorskie,66 (30 -- 156),Likely increasing,1.1 (0.88 -- 1.5),0.038 (-0.035 -- 0.13),18 (5.3 -- -20)
Rhineland-Palatinate,1433 (566 -- 3297),Likely increasing,1.1 (0.69 -- 1.5),0.037 (-0.086 -- 0.14),19 (4.9 -- -8)
Saarland,775 (309 -- 2293),Likely increasing,1.3 (0.97 -- 1.9),0.087 (-0.007 -- 0.24),8 (2.9 -- -98)
Saxony,825 (221 -- 3496),Likely increasing,1.3 (0.74 -- 2.1),0.077 (-0.075 -- 0.27),9 (2.5 -- -9.3)
Saxony-Anhalt,235 (68 -- 725),Stable,1.1 (0.61 -- 1.7),0.02 (-0.12 -- 0.18),35 (3.8 -- -5.9)
Schleswig-Holstein,613 (282 -- 1303),Likely decreasing,0.9 (0.63 -- 1.2),-0.028 (-0.11 -- 0.058),-25 (12 -- -6.4)
Thuringia,270 (84 -- 942),Likely increasing,1.3 (0.74 -- 2.1),0.067 (-0.076 -- 0.26),10 (2.7 -- -9.1)
Warmińsko-Mazurskie,37 (16 -- 82),Likely increasing,1.1 (0.86 -- 1.5),0.033 (-0.04 -- 0.12),21 (5.7 -- -17)
Wielkopolskie,81 (32 -- 173),Likely increasing,1.2 (0.8 -- 1.5),0.044 (-0.057 -- 0.13),16 (5.4 -- -12)
Zachodniopomorskie,39 (18 -- 83),Likely increasing,1.1 (0.83 -- 1.3),0.02 (-0.047 -- 0.088),34 (7.9 -- -15)
Łódzkie,62 (33 -- 124),Likely increasing,1.2 (0.94 -- 1.5),0.046 (-0.016 -- 0.12),15 (5.7 -- -44)
Śląskie,56 (26 -- 130),Stable,0.98 (0.73 -- 1.4),-0.0064 (-0.078 -- 0.1),-110 (6.9 -- -8.9)
Świętokrzyskie,22 (8 -- 50),Likely increasing,1.1 (0.79 -- 1.3),0.018 (-0.061 -- 0.092),38 (7.5 -- -11)
