Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,6546 (3346 -- 11412),Likely decreasing,0.95 (0.7 -- 1.1),-0.015 (-0.086 -- 0.032),-46 (21 -- -8)
Bavaria,10149 (5517 -- 17219),Stable,1 (0.8 -- 1.2),0.0022 (-0.057 -- 0.045),310 (15 -- -12)
Berlin,3187 (1716 -- 5538),Likely increasing,1 (0.8 -- 1.2),0.0087 (-0.056 -- 0.054),80 (13 -- -12)
Brandenburg,1701 (672 -- 3485),Likely decreasing,0.93 (0.63 -- 1.2),-0.018 (-0.11 -- 0.049),-38 (14 -- -6.4)
Bremen,648 (338 -- 1167),Likely increasing,1.1 (0.85 -- 1.2),0.018 (-0.042 -- 0.054),39 (13 -- -17)
Dolnośląskie,8308 (4718 -- 13484),Likely decreasing,0.95 (0.73 -- 1.1),-0.014 (-0.078 -- 0.037),-51 (19 -- -8.8)
Germany,31601 (17437 -- 50809),Decreasing,0.8 (0.58 -- 0.98),-0.058 (-0.12 -- -0.0062),-12 (-110 -- -5.6)
Hamburg,2414 (1046 -- 5479),Likely increasing,1.1 (0.87 -- 1.4),0.03 (-0.036 -- 0.097),23 (7.2 -- -19)
Hesse,4847 (2678 -- 7909),Likely decreasing,0.96 (0.75 -- 1.1),-0.012 (-0.073 -- 0.027),-57 (25 -- -9.5)
Kujawsko-Pomorskie,2990 (1825 -- 4587),Decreasing,0.85 (0.67 -- 0.98),-0.042 (-0.094 -- -0.0045),-16 (-150 -- -7.4)
Lower Saxony,5137 (2572 -- 8526),Stable,1 (0.76 -- 1.1),0.0012 (-0.07 -- 0.036),600 (19 -- -9.9)
Lubelskie,3259 (2006 -- 4790),Stable,1 (0.81 -- 1.1),0.00039 (-0.055 -- 0.031),1800 (22 -- -13)
Lubuskie,1938 (1138 -- 3067),Likely decreasing,0.91 (0.74 -- 1),-0.024 (-0.075 -- 0.014),-29 (51 -- -9.3)
Mazowieckie,8238 (4694 -- 12811),Decreasing,0.81 (0.61 -- 0.96),-0.053 (-0.11 -- -0.01),-13 (-69 -- -6.1)
Małopolskie,7382 (3893 -- 12477),Likely decreasing,0.92 (0.7 -- 1.1),-0.022 (-0.088 -- 0.024),-32 (29 -- -7.9)
Mecklenburg-Vorpommern,375 (118 -- 1047),Decreasing,0.62 (0.31 -- 1),-0.11 (-0.22 -- -0.0012),-6.3 (-580 -- -3.2)
North Rhine-Westphalia,12081 (6519 -- 20421),Likely decreasing,0.96 (0.76 -- 1.1),-0.0098 (-0.069 -- 0.035),-71 (20 -- -10)
Opolskie,2272 (1384 -- 3712),Stable,0.99 (0.79 -- 1.2),-0.0041 (-0.06 -- 0.041),-170 (17 -- -12)
Podkarpackie,2907 (1719 -- 4721),Likely decreasing,0.87 (0.68 -- 1),-0.036 (-0.093 -- 0.0048),-19 (140 -- -7.5)
Podlaskie,1327 (911 -- 1900),Likely decreasing,0.96 (0.84 -- 1),-0.011 (-0.044 -- 0.012),-64 (59 -- -16)
Poland,51507 (31857 -- 79031),Decreasing,0.8 (0.62 -- 0.95),-0.056 (-0.11 -- -0.013),-12 (-55 -- -6.3)
Pomorskie,3666 (2314 -- 5620),Likely decreasing,0.88 (0.72 -- 1),-0.033 (-0.08 -- 0.0047),-21 (150 -- -8.6)
Rhineland-Palatinate,4026 (1688 -- 9657),Likely increasing,1.1 (0.85 -- 1.4),0.033 (-0.042 -- 0.098),21 (7.1 -- -17)
Saarland,492 (244 -- 1154),Likely increasing,1 (0.86 -- 1.3),0.0091 (-0.04 -- 0.073),76 (9.5 -- -17)
Saxony,4216 (2075 -- 7304),Likely decreasing,0.95 (0.7 -- 1.1),-0.015 (-0.089 -- 0.039),-47 (18 -- -7.8)
Saxony-Anhalt,2690 (1277 -- 5604),Likely increasing,1.1 (0.86 -- 1.3),0.027 (-0.037 -- 0.087),26 (8 -- -19)
Schleswig-Holstein,1166 (619 -- 1979),Stable,0.99 (0.77 -- 1.1),-0.0024 (-0.066 -- 0.031),-290 (22 -- -10)
Thuringia,2352 (1282 -- 3926),Likely decreasing,0.94 (0.72 -- 1.1),-0.018 (-0.081 -- 0.023),-39 (30 -- -8.5)
Warmińsko-Mazurskie,1576 (925 -- 2461),Likely decreasing,0.85 (0.67 -- 1),-0.042 (-0.095 -- 0.0051),-16 (140 -- -7.3)
Wielkopolskie,6506 (3211 -- 11457),Likely decreasing,0.81 (0.57 -- 1),-0.053 (-0.13 -- 0.0058),-13 (120 -- -5.5)
Zachodniopomorskie,2777 (1458 -- 4741),Likely decreasing,0.95 (0.71 -- 1.1),-0.014 (-0.086 -- 0.037),-51 (19 -- -8.1)
Łódzkie,4825 (2655 -- 7820),Likely decreasing,0.93 (0.71 -- 1.1),-0.02 (-0.082 -- 0.024),-35 (29 -- -8.4)
Śląskie,13382 (7479 -- 21559),Likely decreasing,0.9 (0.69 -- 1.1),-0.027 (-0.09 -- 0.018),-26 (38 -- -7.7)
Świętokrzyskie,1902 (876 -- 3453),Likely decreasing,0.86 (0.57 -- 1.1),-0.039 (-0.13 -- 0.018),-18 (39 -- -5.5)
