Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,93527 (25013 -- 233817),Likely decreasing,0.95 (0.62 -- 1.1),-0.015 (-0.11 -- 0.034),-48 (20 -- -6.1)
Bavaria,81800 (50744 -- 131590),Decreasing,0.78 (0.62 -- 0.93),-0.063 (-0.11 -- -0.019),-11 (-37 -- -6.3)
Berlin,16333 (8191 -- 29994),Likely decreasing,0.97 (0.75 -- 1.1),-0.0098 (-0.071 -- 0.034),-71 (20 -- -9.7)
Brandenburg,13373 (3928 -- 37642),Likely decreasing,0.94 (0.65 -- 1.2),-0.017 (-0.1 -- 0.047),-40 (15 -- -6.8)
Bremen,13029 (4424 -- 37332),Likely increasing,1.1 (0.77 -- 1.5),0.037 (-0.067 -- 0.13),19 (5.4 -- -10)
Dolnośląskie,84 (25 -- 235),Decreasing,0.3 (0.14 -- 0.53),-0.22 (-0.29 -- -0.14),-3.1 (-4.9 -- -2.4)
Germany,353733 (218265 -- 572058),Decreasing,0.72 (0.57 -- 0.87),-0.081 (-0.13 -- -0.037),-8.5 (-19 -- -5.5)
Hamburg,17282 (5930 -- 47883),Stable,0.97 (0.64 -- 1.4),-0.0085 (-0.1 -- 0.093),-82 (7.5 -- -6.7)
Hesse,39084 (20166 -- 74193),Decreasing,0.81 (0.6 -- 1),-0.055 (-0.12 -- 3e-04),-13 (2300 -- -5.8)
Kujawsko-Pomorskie,39 (12 -- 102),Decreasing,0.29 (0.14 -- 0.49),-0.22 (-0.29 -- -0.15),-3.1 (-4.6 -- -2.4)
Lower Saxony,80095 (24306 -- 168540),Likely decreasing,0.96 (0.61 -- 1.1),-0.011 (-0.12 -- 0.034),-64 (20 -- -6)
Lubelskie,70 (19 -- 205),Decreasing,0.28 (0.12 -- 0.51),-0.23 (-0.3 -- -0.15),-3 (-4.7 -- -2.3)
Lubuskie,40 (12 -- 104),Decreasing,0.37 (0.18 -- 0.59),-0.2 (-0.27 -- -0.12),-3.5 (-5.8 -- -2.6)
Mazowieckie,123 (36 -- 339),Decreasing,0.25 (0.11 -- 0.44),-0.24 (-0.31 -- -0.17),-2.9 (-4.1 -- -2.3)
Małopolskie,86 (34 -- 201),Decreasing,0.33 (0.18 -- 0.52),-0.21 (-0.27 -- -0.14),-3.3 (-4.8 -- -2.5)
Mecklenburg-Vorpommern,9134 (5222 -- 15703),Decreasing,0.78 (0.63 -- 0.96),-0.061 (-0.11 -- -0.011),-11 (-64 -- -6.3)
North Rhine-Westphalia,102454 (58258 -- 180464),Likely decreasing,0.86 (0.66 -- 1.1),-0.038 (-0.1 -- 0.021),-18 (33 -- -6.9)
Opolskie,47 (14 -- 136),Decreasing,0.45 (0.22 -- 0.76),-0.17 (-0.26 -- -0.067),-4.2 (-10 -- -2.7)
Podkarpackie,65 (23 -- 175),Decreasing,0.44 (0.24 -- 0.75),-0.17 (-0.25 -- -0.071),-4.1 (-9.7 -- -2.8)
Podlaskie,28 (9 -- 69),Decreasing,0.37 (0.18 -- 0.62),-0.19 (-0.27 -- -0.11),-3.6 (-6.3 -- -2.6)
Poland,737 (221 -- 2002),Decreasing,0.26 (0.12 -- 0.46),-0.24 (-0.3 -- -0.16),-2.9 (-4.3 -- -2.3)
Pomorskie,26 (6 -- 91),Decreasing,0.19 (0.07 -- 0.4),-0.27 (-0.33 -- -0.18),-2.6 (-3.8 -- -2.1)
Rhineland-Palatinate,34147 (17313 -- 62383),Likely decreasing,0.92 (0.7 -- 1.1),-0.021 (-0.085 -- 0.036),-32 (19 -- -8.1)
Saarland,10896 (6599 -- 18556),Likely decreasing,0.96 (0.76 -- 1.2),-0.012 (-0.068 -- 0.049),-57 (14 -- -10)
Saxony,14507 (7073 -- 30718),Decreasing,0.62 (0.43 -- 0.86),-0.11 (-0.17 -- -0.04),-6.3 (-17 -- -4)
Saxony-Anhalt,6746 (3276 -- 12475),Decreasing,0.66 (0.46 -- 0.86),-0.098 (-0.16 -- -0.038),-7.1 (-18 -- -4.2)
Schleswig-Holstein,14564 (7268 -- 28698),Likely decreasing,0.8 (0.59 -- 1),-0.058 (-0.12 -- 0.0021),-12 (340 -- -5.7)
Thuringia,14563 (7769 -- 25277),Likely decreasing,0.88 (0.68 -- 1.1),-0.034 (-0.092 -- 0.03),-21 (23 -- -7.5)
Warmińsko-Mazurskie,22 (6 -- 56),Decreasing,0.28 (0.12 -- 0.47),-0.23 (-0.3 -- -0.16),-3 (-4.3 -- -2.3)
Wielkopolskie,46 (13 -- 128),Decreasing,0.22 (0.096 -- 0.4),-0.25 (-0.32 -- -0.19),-2.7 (-3.7 -- -2.2)
Zachodniopomorskie,48 (12 -- 140),Decreasing,0.28 (0.13 -- 0.51),-0.23 (-0.3 -- -0.15),-3 (-4.7 -- -2.3)
Łódzkie,56 (16 -- 160),Decreasing,0.3 (0.13 -- 0.53),-0.22 (-0.29 -- -0.14),-3.1 (-4.9 -- -2.4)
Śląskie,72 (19 -- 224),Decreasing,0.25 (0.11 -- 0.5),-0.24 (-0.31 -- -0.15),-2.9 (-4.6 -- -2.3)
Świętokrzyskie,49 (21 -- 112),Decreasing,0.44 (0.27 -- 0.66),-0.17 (-0.23 -- -0.096),-4.1 (-7.2 -- -3)
