Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,16282 (9826 -- 27742),Likely increasing,1.1 (0.93 -- 1.3),0.032 (-0.02 -- 0.087),22 (8 -- -35)
Bavaria,10005 (5190 -- 16096),Likely decreasing,0.93 (0.68 -- 1.1),-0.021 (-0.092 -- 0.023),-34 (30 -- -7.6)
Berlin,2834 (1639 -- 5004),Stable,0.99 (0.84 -- 1.2),-0.0029 (-0.046 -- 0.044),-240 (16 -- -15)
Brandenburg,1303 (589 -- 2521),Likely decreasing,0.91 (0.65 -- 1.1),-0.025 (-0.1 -- 0.033),-28 (21 -- -6.8)
Bremen,584 (314 -- 930),Likely increasing,1 (0.84 -- 1.1),0.0058 (-0.046 -- 0.031),120 (22 -- -15)
Dolnośląskie,1302 (754 -- 2224),Decreasing,0.73 (0.57 -- 0.91),-0.077 (-0.13 -- -0.026),-8.9 (-27 -- -5.4)
Germany,69635 (38796 -- 129214),Stable,1 (0.76 -- 1.4),0.00078 (-0.069 -- 0.11),890 (6.5 -- -10)
Hamburg,1240 (568 -- 2437),Likely decreasing,0.97 (0.76 -- 1.1),-0.0077 (-0.068 -- 0.03),-90 (23 -- -10)
Hesse,5617 (3543 -- 8884),Likely increasing,1 (0.87 -- 1.2),0.008 (-0.037 -- 0.051),87 (14 -- -19)
Kujawsko-Pomorskie,764 (445 -- 1282),Decreasing,0.74 (0.59 -- 0.89),-0.074 (-0.12 -- -0.032),-9.4 (-22 -- -5.7)
Lower Saxony,6349 (4062 -- 10715),Likely increasing,1 (0.9 -- 1.2),0.0078 (-0.029 -- 0.042),88 (16 -- -24)
Lubelskie,550 (308 -- 975),Decreasing,0.68 (0.52 -- 0.84),-0.092 (-0.14 -- -0.047),-7.5 (-15 -- -4.9)
Lubuskie,382 (224 -- 654),Decreasing,0.75 (0.61 -- 0.9),-0.072 (-0.12 -- -0.027),-9.6 (-25 -- -6)
Mazowieckie,1545 (900 -- 2598),Decreasing,0.69 (0.54 -- 0.84),-0.088 (-0.14 -- -0.044),-7.9 (-16 -- -5.1)
Małopolskie,987 (549 -- 1678),Decreasing,0.69 (0.54 -- 0.86),-0.089 (-0.14 -- -0.039),-7.8 (-18 -- -5)
Mecklenburg-Vorpommern,730 (344 -- 1311),Likely decreasing,0.85 (0.61 -- 1),-0.043 (-0.11 -- 0.0029),-16 (240 -- -6.1)
North Rhine-Westphalia,20711 (13625 -- 33332),Likely increasing,1.1 (0.92 -- 1.2),0.018 (-0.024 -- 0.054),39 (13 -- -29)
Opolskie,501 (287 -- 903),Decreasing,0.78 (0.63 -- 0.97),-0.062 (-0.11 -- -0.0082),-11 (-84 -- -6.4)
Podkarpackie,320 (178 -- 552),Decreasing,0.63 (0.49 -- 0.78),-0.11 (-0.15 -- -0.062),-6.5 (-11 -- -4.5)
Podlaskie,199 (88 -- 363),Decreasing,0.64 (0.44 -- 0.8),-0.11 (-0.17 -- -0.058),-6.6 (-12 -- -4)
Poland,12293 (7212 -- 20040),Decreasing,0.7 (0.55 -- 0.85),-0.087 (-0.13 -- -0.041),-8 (-17 -- -5.2)
Pomorskie,474 (243 -- 807),Decreasing,0.64 (0.47 -- 0.77),-0.1 (-0.16 -- -0.064),-6.6 (-11 -- -4.3)
Rhineland-Palatinate,2262 (965 -- 4063),Likely decreasing,0.89 (0.57 -- 1.1),-0.031 (-0.13 -- 0.027),-23 (26 -- -5.5)
Saarland,840 (410 -- 1751),Likely increasing,1.1 (0.86 -- 1.2),0.015 (-0.041 -- 0.061),46 (11 -- -17)
Saxony,4726 (2877 -- 7797),Stable,1 (0.84 -- 1.2),1e-04 (-0.045 -- 0.048),6800 (15 -- -15)
Saxony-Anhalt,2248 (1527 -- 3451),Stable,1 (0.89 -- 1.1),0.0031 (-0.03 -- 0.033),220 (21 -- -23)
Schleswig-Holstein,1040 (669 -- 1567),Likely decreasing,0.97 (0.83 -- 1.1),-0.0094 (-0.048 -- 0.02),-74 (34 -- -15)
Thuringia,2599 (1645 -- 4187),Stable,1 (0.88 -- 1.1),0.001 (-0.033 -- 0.04),680 (18 -- -21)
Warmińsko-Mazurskie,328 (175 -- 582),Decreasing,0.71 (0.55 -- 0.85),-0.083 (-0.13 -- -0.043),-8.3 (-16 -- -5.1)
Wielkopolskie,1117 (586 -- 2038),Decreasing,0.67 (0.48 -- 0.85),-0.097 (-0.15 -- -0.043),-7.1 (-16 -- -4.5)
Zachodniopomorskie,829 (460 -- 1463),Decreasing,0.79 (0.64 -- 0.97),-0.058 (-0.11 -- -0.0071),-12 (-98 -- -6.5)
Łódzkie,1133 (650 -- 2059),Decreasing,0.75 (0.59 -- 0.93),-0.073 (-0.12 -- -0.02),-9.5 (-34 -- -5.8)
Śląskie,2258 (1208 -- 4039),Decreasing,0.73 (0.55 -- 0.91),-0.078 (-0.13 -- -0.025),-8.8 (-27 -- -5.3)
Świętokrzyskie,433 (201 -- 834),Decreasing,0.71 (0.49 -- 0.92),-0.083 (-0.15 -- -0.021),-8.4 (-33 -- -4.5)
