Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Württemberg State,7478 (1559 -- 24793),Likely decreasing,0.9 (0.6 -- 1.1),-0.028 (-0.12 -- 0.04),-25 (18 -- -5.9)
Berlin State,10361 (3399 -- 32628),Likely increasing,1 (0.85 -- 1.2),0.0082 (-0.043 -- 0.054),84 (13 -- -16)
Brandenburg State,13129 (2189 -- 43989),Stable,1 (0.51 -- 1.2),0.013 (-0.14 -- 0.065),55 (11 -- -4.9)
Dolnoslaskie,2603 (841 -- 10504),Stable,1 (0.78 -- 1.4),0.00079 (-0.063 -- 0.094),880 (7.4 -- -11)
Free Hanseatic City of Bremen,516 (139 -- 2209),Stable,1 (0.77 -- 1.3),0.0023 (-0.064 -- 0.08),300 (8.7 -- -11)
Free Hanseatic City of Hamburg,2683 (354 -- 13718),Stable,0.98 (0.59 -- 1.3),-0.0069 (-0.12 -- 0.07),-100 (9.9 -- -5.8)
Free State of Bavaria,16794 (3945 -- 47021),Likely decreasing,0.95 (0.66 -- 1.2),-0.015 (-0.1 -- 0.045),-47 (15 -- -6.9)
Free State of Saxony,12832 (1335 -- 72950),Likely decreasing,0.87 (0.47 -- 1.2),-0.036 (-0.16 -- 0.042),-19 (17 -- -4.4)
Free State of Thuringia,12884 (1243 -- 128244),Likely increasing,1.1 (0.68 -- 1.7),0.022 (-0.088 -- 0.2),31 (3.5 -- -7.8)
Free State of Thüringia,9143 (1650 -- 36372),Stable,0.99 (0.61 -- 1.2),-0.004 (-0.11 -- 0.06),-170 (12 -- -6.1)
Germany,101673 (36400 -- 222867),Likely decreasing,0.94 (0.73 -- 1.1),-0.016 (-0.077 -- 0.031),-43 (22 -- -9)
Hesse State,8229 (2901 -- 24044),Likely decreasing,0.93 (0.64 -- 1.2),-0.018 (-0.1 -- 0.051),-38 (14 -- -6.6)
Kujawsko-Pomorskie,2630 (807 -- 6065),Likely decreasing,0.97 (0.73 -- 1.1),-0.0092 (-0.079 -- 0.038),-75 (18 -- -8.8)
Lodzkie,2134 (25 -- 19327),Likely decreasing,0.89 (0.22 -- 1.5),-0.03 (-0.25 -- 0.12),-23 (5.6 -- -2.7)
Lower Saxony State,10162 (3779 -- 22691),Likely increasing,1 (0.84 -- 1.1),0.011 (-0.045 -- 0.038),63 (18 -- -15)
Lubelskie,2103 (253 -- 7053),Likely decreasing,0.94 (0.5 -- 1.1),-0.017 (-0.15 -- 0.039),-41 (18 -- -4.6)
Lubuskie,1263 (47 -- 6015),Likely decreasing,0.97 (0.38 -- 1.3),-0.0076 (-0.19 -- 0.08),-91 (8.7 -- -3.6)
Malopolskie,1132 (61 -- 6032),Likely decreasing,0.87 (0.33 -- 1.3),-0.035 (-0.21 -- 0.087),-20 (8 -- -3.3)
Mazowieckie,7557 (2668 -- 23216),Likely increasing,1.1 (0.81 -- 1.4),0.018 (-0.054 -- 0.11),38 (6.6 -- -13)
Mecklenburg-Western Pomerania State,3639 (1236 -- 10752),Likely increasing,1.1 (0.87 -- 1.3),0.03 (-0.037 -- 0.079),23 (8.7 -- -19)
North Rhine-Westphalia State,16959 (6253 -- 48191),Likely decreasing,0.95 (0.74 -- 1.2),-0.015 (-0.073 -- 0.057),-46 (12 -- -9.5)
Opolskie,474 (175 -- 1853),Likely decreasing,0.9 (0.72 -- 1.1),-0.028 (-0.079 -- 0.028),-25 (25 -- -8.8)
Podkarpackie,1114 (133 -- 5043),Likely decreasing,0.92 (0.49 -- 1.3),-0.024 (-0.16 -- 0.092),-29 (7.5 -- -4.4)
Podlaskie,1714 (477 -- 13266),Likely increasing,1.1 (0.83 -- 1.8),0.018 (-0.048 -- 0.2),38 (3.5 -- -15)
Poland,30754 (6253 -- 82778),Likely decreasing,0.95 (0.6 -- 1.2),-0.012 (-0.12 -- 0.053),-56 (13 -- -5.9)
Pomorskie,2140 (86 -- 10629),Likely decreasing,0.93 (0.35 -- 1.3),-0.021 (-0.2 -- 0.078),-33 (8.9 -- -3.4)
Rhineland-Palatinate State,8136 (2359 -- 38267),Stable,1 (0.79 -- 1.5),0.0051 (-0.06 -- 0.13),140 (5.5 -- -11)
Saarland State,1427 (181 -- 6525),Likely decreasing,0.96 (0.57 -- 1.3),-0.012 (-0.13 -- 0.072),-59 (9.6 -- -5.4)
Sachsen-Anhalt State,11450 (1593 -- 43872),Stable,1 (0.63 -- 1.3),0.011 (-0.11 -- 0.077),64 (9 -- -6.6)
Schleswig-Holstein State,5882 (1770 -- 36383),Likely increasing,1.1 (0.89 -- 1.9),0.035 (-0.029 -- 0.22),20 (3.2 -- -24)
Slaskie,2783 (460 -- 9579),Likely decreasing,0.93 (0.53 -- 1.2),-0.02 (-0.14 -- 0.048),-35 (14 -- -4.9)
Swietokrzyskie,885 (116 -- 4186),Likely decreasing,0.96 (0.48 -- 1.3),-0.01 (-0.16 -- 0.087),-66 (8 -- -4.4)
Warminsko-Mazurskie,2055 (306 -- 8246),Likely decreasing,0.96 (0.57 -- 1.2),-0.011 (-0.13 -- 0.065),-63 (11 -- -5.5)
Wielkopolskie,4072 (1339 -- 8988),Likely decreasing,0.97 (0.73 -- 1.1),-0.0084 (-0.077 -- 0.027),-83 (25 -- -9)
Zachodniopomorskie,3077 (543 -- 12558),Likely decreasing,0.98 (0.61 -- 1.2),-0.0066 (-0.11 -- 0.052),-110 (13 -- -6)
