region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Germany,5089 (1464 -- 16831),5089,7455,23283,1464,3475,4382,5921,7599,16831,New confirmed cases by infection date,Likely decreasing,0.88
Lower Saxony,1142 (233 -- 4585),1142,1842,3928,233,656,920,1365,1907,4585,New confirmed cases by infection date,Likely decreasing,0.8
Hesse,965 (241 -- 5089),965,1710,3537,241,562,788,1183,1719,5089,New confirmed cases by infection date,Likely decreasing,0.6
Bavaria,836 (270 -- 3166),836,2136,39093,270,550,717,974,1295,3166,New confirmed cases by infection date,Likely decreasing,0.82
Baden-Wurttemberg,577 (171 -- 2144),577,888,2080,171,390,498,660,837,2144,New confirmed cases by infection date,Likely decreasing,0.85
North Rhine-Westphalia,540 (94 -- 1742),540,732,1115,94,301,426,659,881,1742,New confirmed cases by infection date,Likely decreasing,0.9
Thuringia,460 (99 -- 4292),460,2665,46654,99,266,366,559,855,4292,New confirmed cases by infection date,Likely decreasing,0.71
Schleswig-Holstein,345 (88 -- 4009),345,2735,25482,88,205,282,423,645,4009,New confirmed cases by infection date,Likely decreasing,0.64
Hamburg,311 (40 -- 3549),311,1324,6782,40,148,240,412,691,3549,New confirmed cases by infection date,Likely decreasing,0.67
Saxony,222 (34 -- 1104),222,392,874,34,118,179,280,415,1104,New confirmed cases by infection date,Likely decreasing,0.85
Łódzkie,201 (9 -- 3022),201,870,3337,9,64,130,292,585,3022,New confirmed cases by infection date,Likely increasing,0.39
Brandenburg,171 (21 -- 728),171,341,1247,21,87,137,209,295,728,New confirmed cases by infection date,Likely decreasing,0.79
Saxony-Anhalt,151 (27 -- 652),151,225,351,27,90,128,181,248,652,New confirmed cases by infection date,Likely decreasing,0.84
Saarland,150 (31 -- 1187),150,365,1306,31,84,123,195,305,1187,New confirmed cases by infection date,Likely decreasing,0.69
Poland,123 (8 -- 539),123,208,531,8,52,92,152,214,539,New confirmed cases by infection date,Likely decreasing,0.89
Berlin,108 (4 -- 936),108,925,17140,4,39,78,152,258,936,New confirmed cases by infection date,Likely decreasing,0.8
Mecklenburg-Vorpommern,94 (19 -- 646),94,221,765,19,56,77,111,158,646,New confirmed cases by infection date,Likely decreasing,0.8
Lubelskie,67 (5 -- 2655),67,1205,10599,5,22,43,108,259,2655,New confirmed cases by infection date,Stable,0.48
Bremen,30 (0 -- 485),30,400,4942,0,9,20,45,81,485,New confirmed cases by infection date,Likely decreasing,0.74
Rhineland-Palatinate,29 (0 -- 272),29,97,445,0,8,19,46,82,272,New confirmed cases by infection date,Likely decreasing,0.92
Podkarpackie,20 (0 -- 300),20,120,1314,0,8,14,28,48,300,New confirmed cases by infection date,Likely decreasing,0.72
Śląskie,12 (0 -- 131),12,63,500,0,5,9,16,28,131,New confirmed cases by infection date,Likely decreasing,0.83
Dolnośląskie,10 (0 -- 70),10,36,442,0,3,6,14,23,70,New confirmed cases by infection date,Likely decreasing,0.89
Świętokrzyskie,10 (0 -- 104),10,88,2032,0,2,6,15,25,104,New confirmed cases by infection date,Likely decreasing,0.85
Mazowieckie,8 (0 -- 179),8,133,1881,0,0,3,16,40,179,New confirmed cases by infection date,Likely decreasing,0.87
Warmińsko-Mazurskie,6 (0 -- 398),6,239,2763,0,0,3,12,30,398,New confirmed cases by infection date,Likely decreasing,0.74
Kujawsko-Pomorskie,4 (0 -- 190),4,57,339,0,0,2,6,15,190,New confirmed cases by infection date,Likely decreasing,0.77
Małopolskie,3 (0 -- 45),3,15,77,0,0,1,5,10,45,New confirmed cases by infection date,Likely decreasing,0.88
Opolskie,3 (0 -- 78),3,108,2579,0,0,1,8,19,78,New confirmed cases by infection date,Likely decreasing,0.86
Pomorskie,2 (0 -- 70),2,200,4466,0,0,1,4,9,70,New confirmed cases by infection date,Likely decreasing,0.87
Wielkopolskie,2 (0 -- 32),2,15,169,0,0,1,4,8,32,New confirmed cases by infection date,Likely decreasing,0.9
Łódzkie,1.1 (0.47 -- 2.1),1.1,1.2,0.51,0.47,0.85,1,1.2,1.4,2.1,Effective reproduction no.,Likely increasing,0.39
