Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Württemberg State,17784 (4480 -- 62296),Likely decreasing,0.96 (0.72 -- 1.2),-0.0096 (-0.081 -- 0.055),-72 (13 -- -8.5)
Berlin State,9130 (2136 -- 24408),Likely increasing,1 (0.72 -- 1.2),0.0092 (-0.08 -- 0.046),75 (15 -- -8.7)
Brandenburg State,15468 (4321 -- 44295),Likely increasing,1.1 (0.84 -- 1.3),0.028 (-0.045 -- 0.068),25 (10 -- -16)
Dolnoslaskie,1867 (543 -- 6896),Likely decreasing,0.93 (0.71 -- 1.2),-0.02 (-0.085 -- 0.048),-35 (14 -- -8.1)
Free Hanseatic City of Bremen,462 (115 -- 2013),Stable,1 (0.77 -- 1.3),0.0029 (-0.065 -- 0.086),240 (8.1 -- -11)
Free Hanseatic City of Hamburg,2290 (193 -- 9403),Stable,0.98 (0.52 -- 1.2),-0.006 (-0.15 -- 0.064),-120 (11 -- -4.8)
Free State of Bavaria,72364 (17589 -- 392100),Likely increasing,1 (0.82 -- 1.2),0.0062 (-0.05 -- 0.058),110 (12 -- -14)
Free State of Saxony,19307 (3495 -- 68663),Stable,0.97 (0.61 -- 1.2),-0.0069 (-0.12 -- 0.066),-100 (11 -- -6)
Free State of Thüringia,12040 (2497 -- 49211),Stable,1 (0.71 -- 1.2),0.007 (-0.086 -- 0.059),99 (12 -- -8.1)
Germany,134667 (44007 -- 292376),Likely decreasing,0.97 (0.71 -- 1.1),-0.0075 (-0.083 -- 0.029),-93 (24 -- -8.3)
Hesse State,7456 (1991 -- 19452),Likely decreasing,0.92 (0.64 -- 1.1),-0.021 (-0.1 -- 0.036),-32 (19 -- -6.6)
Kujawsko-Pomorskie,8305 (2536 -- 37866),Stable,1 (0.83 -- 1.1),-0.00042 (-0.049 -- 0.035),-1700 (20 -- -14)
Lodzkie,2535 (23 -- 42140),Likely decreasing,0.81 (0.15 -- 1.7),-0.054 (-0.29 -- 0.17),-13 (4.1 -- -2.4)
Lower Saxony State,9978 (4055 -- 22560),Likely increasing,1.1 (0.88 -- 1.2),0.017 (-0.035 -- 0.052),41 (13 -- -20)
Lubelskie,6579 (1689 -- 26727),Stable,1 (0.7 -- 1.3),0.0022 (-0.086 -- 0.081),310 (8.6 -- -8.1)
Lubuskie,2594 (451 -- 17583),Stable,1 (0.63 -- 1.5),0.0041 (-0.11 -- 0.14),170 (5.1 -- -6.5)
Malopolskie,4071 (605 -- 29687),Likely increasing,1.1 (0.61 -- 1.7),0.018 (-0.11 -- 0.17),37 (4 -- -6.1)
Mazowieckie,8048 (2665 -- 28781),Stable,1 (0.79 -- 1.4),0.0084 (-0.06 -- 0.098),83 (7.1 -- -12)
Mecklenburg-Western Pomerania State,2763 (793 -- 7948),Likely increasing,1.1 (0.8 -- 1.3),0.03 (-0.057 -- 0.08),23 (8.7 -- -12)
North Rhine-Westphalia State,18831 (4211 -- 50778),Likely decreasing,0.93 (0.63 -- 1.1),-0.02 (-0.11 -- 0.025),-35 (27 -- -6.5)
Opolskie,626 (155 -- 2282),Likely decreasing,0.9 (0.69 -- 1.2),-0.027 (-0.092 -- 0.04),-26 (17 -- -7.6)
Podkarpackie,929 (61 -- 4693),Likely decreasing,0.84 (0.34 -- 1.3),-0.046 (-0.21 -- 0.071),-15 (9.8 -- -3.4)
Podlaskie,1095 (374 -- 5885),Likely decreasing,0.97 (0.78 -- 1.4),-0.0077 (-0.063 -- 0.1),-90 (6.9 -- -11)
Poland,55573 (9989 -- 166074),Stable,0.98 (0.58 -- 1.3),-0.0043 (-0.12 -- 0.07),-160 (9.9 -- -5.6)
Pomorskie,3817 (277 -- 19632),Stable,0.99 (0.43 -- 1.5),-0.0034 (-0.17 -- 0.12),-200 (5.8 -- -4)
Rhineland-Palatinate State,5069 (759 -- 18454),Likely decreasing,0.94 (0.54 -- 1.3),-0.016 (-0.14 -- 0.067),-42 (10 -- -5.1)
Saarland State,3473 (679 -- 13803),Likely increasing,1.1 (0.75 -- 1.4),0.019 (-0.071 -- 0.094),37 (7.3 -- -9.8)
Sachsen-Anhalt State,16453 (4455 -- 53863),Likely increasing,1.1 (0.85 -- 1.4),0.037 (-0.042 -- 0.1),19 (6.9 -- -17)
Schleswig-Holstein State,1766 (212 -- 7953),Stable,0.94 (0.52 -- 1.3),-0.016 (-0.14 -- 0.086),-44 (8 -- -4.8)
Slaskie,6088 (1321 -- 24940),Stable,0.98 (0.65 -- 1.4),-0.0045 (-0.099 -- 0.096),-150 (7.3 -- -7)
Swietokrzyskie,3107 (565 -- 27709),Likely increasing,1.2 (0.8 -- 2.1),0.058 (-0.058 -- 0.26),12 (2.6 -- -12)
Warminsko-Mazurskie,3122 (578 -- 17856),Stable,1 (0.62 -- 1.5),-0.001 (-0.11 -- 0.12),-690 (5.6 -- -6.2)
Wielkopolskie,7560 (2665 -- 20776),Likely decreasing,0.98 (0.78 -- 1.2),-0.0042 (-0.062 -- 0.045),-160 (15 -- -11)
Zachodniopomorskie,5422 (1001 -- 31663),Stable,0.99 (0.65 -- 1.2),-0.0019 (-0.1 -- 0.06),-370 (12 -- -6.8)
