region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Germany,46431 (27142 -- 86451),46431,50380,19369,27142,37532,42606,50895,58848,86451,New confirmed cases by infection date,Likely increasing,0.27
Poland,8502 (5776 -- 13713),8502,8924,2497,5776,7158,7964,9083,10099,13713,New confirmed cases by infection date,Increasing,0
Bavaria,7318 (3668 -- 15931),7318,8257,4067,3668,5523,6667,8052,9813,15931,New confirmed cases by infection date,Stable,0.51
North Rhine-Westphalia,6870 (3825 -- 13204),6870,7473,3142,3825,5319,6159,7590,8980,13204,New confirmed cases by infection date,Likely increasing,0.38
Baden-Wurttemberg,4550 (2081 -- 10972),4550,5270,3068,2081,3285,4018,5219,6258,10972,New confirmed cases by infection date,Likely decreasing,0.66
Hesse,2535 (1277 -- 5211),2535,2821,1361,1277,1933,2295,2816,3363,5211,New confirmed cases by infection date,Stable,0.52
Saxony,2508 (1334 -- 4786),2508,2712,1148,1334,1965,2278,2747,3213,4786,New confirmed cases by infection date,Likely increasing,0.068
Lubelskie,2188 (965 -- 5171),2188,2511,1447,965,1546,1926,2473,3033,5171,New confirmed cases by infection date,Increasing,0.042
Lower Saxony,1826 (998 -- 3545),1826,2005,869,998,1425,1663,2002,2398,3545,New confirmed cases by infection date,Likely decreasing,0.6
Berlin,1528 (751 -- 3359),1528,1713,853,751,1178,1377,1695,2024,3359,New confirmed cases by infection date,Stable,0.56
Rhineland-Palatinate,1503 (740 -- 3206),1503,1676,802,740,1104,1351,1687,2022,3206,New confirmed cases by infection date,Stable,0.49
Mazowieckie,1405 (962 -- 2233),1405,1467,398,962,1191,1317,1497,1656,2233,New confirmed cases by infection date,Increasing,0.003
Thuringia,1230 (580 -- 2537),1230,1374,756,580,922,1106,1375,1675,2537,New confirmed cases by infection date,Likely increasing,0.25
Mecklenburg-Vorpommern,865 (442 -- 1991),865,995,522,442,646,779,972,1201,1991,New confirmed cases by infection date,Likely increasing,0.053
Hamburg,645 (288 -- 1624),645,765,508,288,460,568,727,911,1624,New confirmed cases by infection date,Likely decreasing,0.63
Saxony-Anhalt,589 (336 -- 986),589,619,215,336,468,546,639,728,986,New confirmed cases by infection date,Likely increasing,0.34
Podlaskie,533 (340 -- 928),533,568,187,340,444,495,572,647,928,New confirmed cases by infection date,Increasing,0.0025
Zachodniopomorskie,487 (326 -- 837),487,524,173,326,408,454,524,595,837,New confirmed cases by infection date,Increasing,0.01
Brandenburg,469 (216 -- 898),469,507,238,216,358,427,513,605,898,New confirmed cases by infection date,Likely decreasing,0.67
Bremen,436 (248 -- 828),436,473,185,248,347,400,477,553,828,New confirmed cases by infection date,Stable,0.54
Schleswig-Holstein,420 (244 -- 782),420,457,186,244,337,385,458,535,782,New confirmed cases by infection date,Likely decreasing,0.74
Małopolskie,411 (240 -- 807),411,455,188,240,336,381,452,525,807,New confirmed cases by infection date,Likely increasing,0.13
Podkarpackie,397 (277 -- 615),397,415,108,277,344,375,421,463,615,New confirmed cases by infection date,Increasing,0.0035
Śląskie,324 (225 -- 513),324,341,96,225,273,303,345,386,513,New confirmed cases by infection date,Increasing,0.016
Dolnośląskie,296 (170 -- 533),296,319,128,170,236,270,322,370,533,New confirmed cases by infection date,Likely increasing,0.12
Pomorskie,286 (191 -- 529),286,316,123,191,237,265,308,362,529,New confirmed cases by infection date,Increasing,0.0045
Łódzkie,286 (172 -- 513),286,309,115,172,233,266,310,356,513,New confirmed cases by infection date,Likely increasing,0.19
Wielkopolskie,263 (147 -- 497),263,284,113,147,207,240,287,333,497,New confirmed cases by infection date,Likely increasing,0.13
Warmińsko-Mazurskie,261 (150 -- 451),261,277,98,150,210,241,280,322,451,New confirmed cases by infection date,Increasing,0.04
Kujawsko-Pomorskie,200 (130 -- 335),200,213,74,130,167,188,215,241,335,New confirmed cases by infection date,Increasing,0.014
Saarland,179 (83 -- 403),179,201,105,83,134,160,200,243,403,New confirmed cases by infection date,Likely decreasing,0.81
Lubuskie,79 (40 -- 141),79,84,33,40,62,72,86,98,141,New confirmed cases by infection date,Likely increasing,0.13
Świętokrzyskie,66 (41 -- 129),66,74,34,41,54,61,71,82,129,New confirmed cases by infection date,Increasing,0.022
Opolskie,65 (37 -- 111),65,69,24,37,52,60,70,81,111,New confirmed cases by infection date,Likely increasing,0.16
Lubelskie,1.5 (1 -- 2.1),1.5,1.5,0.34,1,1.3,1.4,1.5,1.7,2.1,Effective reproduction no.,Increasing,0.042
Mecklenburg-Vorpommern,1.3 (0.99 -- 1.7),1.3,1.3,0.21,0.99,1.2,1.2,1.3,1.4,1.7,Effective reproduction no.,Likely increasing,0.053
Podlaskie,1.3 (1.1 -- 1.4),1.3,1.3,0.093,1.1,1.2,1.2,1.3,1.3,1.4,Effective reproduction no.,Increasing,0.0025
Poland,1.3 (1.2 -- 1.6),1.3,1.3,0.13,1.2,1.3,1.3,1.4,1.4,1.6,Effective reproduction no.,Increasing,0
Mazowieckie,1.2 (1.2 -- 1.3),1.2,1.2,0.063,1.2,1.2,1.2,1.3,1.3,1.3,Effective reproduction no.,Increasing,0.003
Warmińsko-Mazurskie,1.2 (1 -- 1.4),1.2,1.2,0.11,1,1.1,1.2,1.2,1.3,1.4,Effective reproduction no.,Increasing,0.04
Zachodniopomorskie,1.2 (1.1 -- 1.4),1.2,1.2,0.093,1.1,1.1,1.2,1.2,1.2,1.4,Effective reproduction no.,Increasing,0.01
Dolnośląskie,1.1 (0.94 -- 1.4),1.1,1.1,0.14,0.94,1.1,1.1,1.1,1.2,1.4,Effective reproduction no.,Likely increasing,0.12
