Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,6658 (1816 -- 48028),Likely increasing,1.2 (0.88 -- 2.2),0.058 (-0.034 -- 0.28),12 (2.4 -- -21)
Bavaria,4834 (1833 -- 14149),Likely increasing,1 (0.8 -- 1.4),0.013 (-0.055 -- 0.095),52 (7.3 -- -13)
Berlin,671 (178 -- 2471),Likely decreasing,0.96 (0.66 -- 1.3),-0.012 (-0.1 -- 0.076),-60 (9.1 -- -7)
Brandenburg,892 (152 -- 12261),Stable,0.99 (0.55 -- 1.9),-0.0041 (-0.13 -- 0.23),-170 (3 -- -5.3)
Bremen,220 (47 -- 2475),Likely decreasing,0.96 (0.74 -- 1.7),-0.011 (-0.074 -- 0.18),-66 (3.9 -- -9.4)
Dolnośląskie,8660 (3083 -- 29585),Likely increasing,1.1 (0.81 -- 1.4),0.026 (-0.054 -- 0.096),27 (7.2 -- -13)
Germany,55186 (25193 -- 218333),Likely increasing,1.2 (1 -- 1.9),0.062 (-0.00096 -- 0.22),11 (3.2 -- -720)
Hamburg,221 (50 -- 850),Likely decreasing,0.92 (0.65 -- 1.2),-0.023 (-0.1 -- 0.048),-30 (14 -- -6.8)
Hesse,2278 (667 -- 9787),Stable,1 (0.72 -- 1.6),0.0067 (-0.08 -- 0.15),100 (4.6 -- -8.7)
Kujawsko-Pomorskie,5843 (1145 -- 23032),Stable,1 (0.63 -- 1.5),0.0048 (-0.11 -- 0.13),140 (5.5 -- -6.4)
Lower Saxony,1885 (782 -- 6748),Likely decreasing,0.97 (0.81 -- 1.3),-0.0095 (-0.054 -- 0.076),-73 (9.1 -- -13)
Lubelskie,5775 (2231 -- 20576),Likely increasing,1.1 (0.9 -- 1.5),0.029 (-0.027 -- 0.12),24 (5.9 -- -26)
Lubuskie,2174 (703 -- 6455),Likely increasing,1 (0.79 -- 1.3),0.01 (-0.059 -- 0.077),66 (9 -- -12)
Mazowieckie,21947 (7342 -- 118889),Likely increasing,1.1 (0.88 -- 1.8),0.032 (-0.035 -- 0.19),22 (3.6 -- -20)
Małopolskie,15381 (5247 -- 52953),Likely increasing,1.2 (0.89 -- 1.5),0.046 (-0.032 -- 0.13),15 (5.2 -- -22)
Mecklenburg-Vorpommern,1242 (248 -- 6917),Likely increasing,1.1 (0.75 -- 1.7),0.024 (-0.073 -- 0.16),29 (4.2 -- -9.6)
North Rhine-Westphalia,8750 (3458 -- 30348),Likely increasing,1.1 (0.92 -- 1.6),0.038 (-0.022 -- 0.15),18 (4.5 -- -32)
Opolskie,7761 (1344 -- 49707),Likely increasing,1.2 (0.72 -- 1.8),0.054 (-0.08 -- 0.2),13 (3.5 -- -8.7)
Podkarpackie,5343 (2095 -- 10411),Likely increasing,1.1 (0.83 -- 1.2),0.016 (-0.048 -- 0.046),43 (15 -- -14)
Podlaskie,2330 (1052 -- 7528),Likely increasing,1 (0.9 -- 1.3),0.0038 (-0.027 -- 0.071),180 (9.7 -- -25)
Poland,108127 (55489 -- 258703),Likely increasing,1.1 (0.93 -- 1.4),0.03 (-0.02 -- 0.1),23 (6.7 -- -34)
Pomorskie,6923 (2552 -- 27498),Likely increasing,1 (0.86 -- 1.3),0.012 (-0.039 -- 0.083),60 (8.4 -- -18)
Rhineland-Palatinate,1944 (391 -- 16355),Likely increasing,1.2 (0.82 -- 2),0.041 (-0.052 -- 0.25),17 (2.8 -- -13)
Saarland,28 (2 -- 201),Likely decreasing,0.83 (0.49 -- 1.2),-0.048 (-0.15 -- 0.059),-14 (12 -- -4.6)
Saxony,3850 (895 -- 24803),Likely increasing,1.1 (0.81 -- 1.7),0.03 (-0.054 -- 0.19),23 (3.7 -- -13)
Saxony-Anhalt,14141 (1870 -- 323477),Increasing,1.7 (1 -- 4),0.18 (0.0039 -- 0.65),4 (1.1 -- 180)
Schleswig-Holstein,351 (92 -- 4884),Likely decreasing,0.9 (0.61 -- 1.7),-0.028 (-0.11 -- 0.18),-24 (4 -- -6.1)
Thuringia,1953 (730 -- 8763),Stable,0.99 (0.76 -- 1.5),-0.0024 (-0.067 -- 0.14),-280 (5.1 -- -10)
Warmińsko-Mazurskie,2653 (783 -- 17800),Likely increasing,1 (0.76 -- 1.8),0.011 (-0.067 -- 0.2),62 (3.4 -- -10)
Wielkopolskie,12581 (5467 -- 32535),Likely increasing,1.2 (0.94 -- 1.5),0.043 (-0.017 -- 0.12),16 (5.7 -- -40)
Zachodniopomorskie,1904 (250 -- 5113),Likely increasing,1 (0.55 -- 1.3),0.0077 (-0.13 -- 0.068),90 (10 -- -5.3)
Łódzkie,10217 (3389 -- 34631),Likely increasing,1.2 (0.88 -- 1.6),0.043 (-0.035 -- 0.15),16 (4.7 -- -20)
Śląskie,21304 (9117 -- 83156),Likely increasing,1.2 (0.98 -- 1.6),0.045 (-0.0068 -- 0.16),15 (4.3 -- -100)
Świętokrzyskie,7835 (2050 -- 40124),Likely increasing,1.1 (0.82 -- 1.7),0.039 (-0.05 -- 0.17),18 (4.1 -- -14)
