Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,2141 (315 -- 8027),Likely decreasing,0.81 (0.45 -- 1.1),-0.054 (-0.17 -- 0.021),-13 (33 -- -4.1)
Bavaria,1648 (177 -- 7525),Likely decreasing,0.7 (0.32 -- 1.1),-0.086 (-0.22 -- 0.026),-8 (27 -- -3.2)
Berlin,483 (8 -- 2523),Likely decreasing,0.87 (0.29 -- 1.1),-0.036 (-0.22 -- 0.041),-19 (17 -- -3.1)
Brandenburg,5772 (1233 -- 18780),Likely increasing,1.1 (0.75 -- 1.3),0.022 (-0.071 -- 0.073),31 (9.5 -- -9.8)
Bremen,450 (89 -- 2333),Likely increasing,1.1 (0.75 -- 1.5),0.026 (-0.072 -- 0.13),27 (5.5 -- -9.7)
Dolnośląskie,6273 (1283 -- 23695),Stable,1 (0.68 -- 1.3),0.011 (-0.092 -- 0.093),64 (7.5 -- -7.5)
Germany,32340 (6167 -- 98780),Likely decreasing,0.86 (0.51 -- 1.1),-0.039 (-0.15 -- 0.027),-18 (25 -- -4.7)
Hamburg,549 (60 -- 2633),Stable,0.99 (0.57 -- 1.3),-0.0036 (-0.13 -- 0.079),-190 (8.7 -- -5.5)
Hesse,1598 (324 -- 5530),Likely decreasing,0.94 (0.63 -- 1.2),-0.016 (-0.11 -- 0.046),-44 (15 -- -6.3)
Kujawsko-Pomorskie,4033 (1123 -- 15162),Stable,0.98 (0.69 -- 1.4),-0.0049 (-0.091 -- 0.1),-140 (6.9 -- -7.6)
Lower Saxony,789 (75 -- 4437),Likely decreasing,0.8 (0.38 -- 1.2),-0.057 (-0.19 -- 0.042),-12 (16 -- -3.6)
Lubelskie,2625 (575 -- 22836),Likely decreasing,0.91 (0.59 -- 1.6),-0.026 (-0.12 -- 0.15),-27 (4.6 -- -5.7)
Lubuskie,2504 (213 -- 40529),Stable,1 (0.52 -- 2.2),0.0077 (-0.14 -- 0.29),90 (2.4 -- -4.8)
Mazowieckie,5726 (1218 -- 24367),Likely decreasing,0.86 (0.55 -- 1.1),-0.039 (-0.13 -- 0.038),-18 (18 -- -5.2)
Małopolskie,4466 (517 -- 22216),Likely decreasing,0.89 (0.49 -- 1.3),-0.03 (-0.15 -- 0.074),-23 (9.4 -- -4.5)
Mecklenburg-Vorpommern,1465 (308 -- 5732),Likely increasing,1.1 (0.75 -- 1.3),0.014 (-0.071 -- 0.067),50 (10 -- -9.8)
North Rhine-Westphalia,4117 (970 -- 12781),Likely decreasing,0.89 (0.58 -- 1.1),-0.031 (-0.13 -- 0.032),-22 (21 -- -5.5)
Opolskie,1741 (216 -- 10313),Likely decreasing,0.92 (0.49 -- 1.4),-0.021 (-0.15 -- 0.094),-33 (7.4 -- -4.6)
Podkarpackie,5776 (1128 -- 37607),Stable,1 (0.66 -- 1.6),0.0021 (-0.099 -- 0.15),330 (4.5 -- -7)
Podlaskie,828 (121 -- 4971),Likely decreasing,0.79 (0.48 -- 1.2),-0.059 (-0.16 -- 0.054),-12 (13 -- -4.4)
Poland,64133 (17832 -- 194489),Likely decreasing,0.96 (0.67 -- 1.2),-0.011 (-0.095 -- 0.056),-61 (12 -- -7.3)
Pomorskie,2612 (291 -- 15116),Likely decreasing,0.94 (0.49 -- 1.4),-0.018 (-0.15 -- 0.11),-39 (6.1 -- -4.5)
Rhineland-Palatinate,3008 (1056 -- 7814),Likely increasing,1.1 (0.84 -- 1.2),0.017 (-0.045 -- 0.052),42 (13 -- -15)
Saarland,1976 (304 -- 6804),Likely increasing,1.1 (0.74 -- 1.3),0.035 (-0.072 -- 0.089),20 (7.8 -- -9.6)
Saxony,28073 (4705 -- 143397),Likely increasing,1.1 (0.7 -- 1.3),0.019 (-0.086 -- 0.074),37 (9.4 -- -8.1)
Saxony-Anhalt,1840 (342 -- 6695),Likely decreasing,0.91 (0.54 -- 1.2),-0.026 (-0.14 -- 0.049),-27 (14 -- -5.1)
Schleswig-Holstein,533 (69 -- 2120),Stable,1 (0.63 -- 1.2),-0.00039 (-0.11 -- 0.052),-1800 (13 -- -6.4)
Thuringia,2681 (330 -- 12831),Likely decreasing,0.84 (0.44 -- 1.2),-0.045 (-0.17 -- 0.044),-15 (16 -- -4)
Warmińsko-Mazurskie,4203 (908 -- 19455),Stable,1 (0.71 -- 1.3),0.0024 (-0.084 -- 0.079),290 (8.8 -- -8.2)
Wielkopolskie,9576 (2414 -- 37056),Stable,1 (0.74 -- 1.3),0.0091 (-0.076 -- 0.075),76 (9.2 -- -9.2)
Zachodniopomorskie,2930 (694 -- 16362),Stable,0.97 (0.64 -- 1.5),-0.0072 (-0.11 -- 0.12),-96 (5.6 -- -6.6)
Łódzkie,7174 (1438 -- 33446),Stable,1 (0.71 -- 1.3),0.0072 (-0.082 -- 0.078),96 (8.8 -- -8.4)
Śląskie,15403 (3921 -- 47413),Likely increasing,1.1 (0.76 -- 1.3),0.016 (-0.068 -- 0.072),43 (9.6 -- -10)
Świętokrzyskie,1026 (71 -- 8134),Likely decreasing,0.8 (0.35 -- 1.2),-0.057 (-0.2 -- 0.046),-12 (15 -- -3.4)
