Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,171981 (94915 -- 355779),Likely increasing,1.2 (0.96 -- 1.5),0.053 (-0.012 -- 0.14),13 (4.9 -- -58)
Bavaria,240502 (143142 -- 450832),Increasing,1.3 (1.1 -- 1.7),0.083 (0.015 -- 0.18),8.4 (3.8 -- 45)
Berlin,15281 (6599 -- 39872),Stable,0.98 (0.75 -- 1.4),-0.0043 (-0.073 -- 0.095),-160 (7.3 -- -9.5)
Brandenburg,20766 (8909 -- 64519),Stable,1 (0.77 -- 1.5),0.0036 (-0.065 -- 0.12),190 (5.7 -- -11)
Bremen,3405 (1434 -- 11285),Likely increasing,1.1 (0.8 -- 1.6),0.017 (-0.055 -- 0.15),40 (4.6 -- -13)
Dolnośląskie,2268 (989 -- 5290),Stable,0.95 (0.62 -- 1.4),-0.015 (-0.11 -- 0.1),-46 (6.8 -- -6.2)
Germany,1042600 (640261 -- 1689360),Increasing,1.2 (1 -- 1.5),0.063 (0.0018 -- 0.13),11 (5.4 -- 380)
Hamburg,13717 (5156 -- 43069),Likely increasing,1.2 (0.82 -- 1.8),0.051 (-0.05 -- 0.2),14 (3.4 -- -14)
Hesse,62828 (33936 -- 117136),Likely increasing,1.3 (0.97 -- 1.6),0.071 (-0.0097 -- 0.16),9.7 (4.3 -- -71)
Kujawsko-Pomorskie,2509 (1200 -- 4968),Likely decreasing,0.9 (0.62 -- 1.2),-0.028 (-0.11 -- 0.056),-25 (12 -- -6.2)
Lower Saxony,78622 (33196 -- 228576),Likely increasing,1 (0.83 -- 1.4),0.01 (-0.048 -- 0.097),68 (7.1 -- -15)
Lubelskie,3284 (1451 -- 7218),Likely increasing,1.2 (0.77 -- 1.7),0.041 (-0.064 -- 0.17),17 (4 -- -11)
Lubuskie,908 (404 -- 1880),Likely decreasing,0.81 (0.55 -- 1.1),-0.053 (-0.13 -- 0.029),-13 (24 -- -5.2)
Mazowieckie,5011 (2411 -- 9786),Likely decreasing,0.94 (0.63 -- 1.3),-0.015 (-0.11 -- 0.093),-45 (7.5 -- -6.5)
Małopolskie,2152 (1165 -- 4037),Likely increasing,1.1 (0.79 -- 1.5),0.025 (-0.059 -- 0.12),27 (5.7 -- -12)
Mecklenburg-Vorpommern,25649 (15438 -- 43647),Likely increasing,1.1 (0.95 -- 1.4),0.039 (-0.013 -- 0.094),18 (7.4 -- -52)
North Rhine-Westphalia,195659 (112308 -- 351428),Likely increasing,1.2 (0.87 -- 1.4),0.044 (-0.035 -- 0.12),16 (5.9 -- -20)
Opolskie,684 (275 -- 1677),Stable,1 (0.67 -- 1.6),0.012 (-0.096 -- 0.15),57 (4.7 -- -7.2)
Podkarpackie,515 (219 -- 1186),Likely increasing,1.1 (0.71 -- 1.6),0.024 (-0.083 -- 0.15),29 (4.5 -- -8.4)
Podlaskie,591 (243 -- 1337),Likely decreasing,0.92 (0.58 -- 1.3),-0.023 (-0.13 -- 0.088),-30 (7.9 -- -5.5)
Poland,28291 (13047 -- 56680),Likely decreasing,0.94 (0.6 -- 1.3),-0.018 (-0.12 -- 0.08),-39 (8.7 -- -6)
Pomorskie,2802 (1245 -- 6857),Likely increasing,1.1 (0.76 -- 1.7),0.035 (-0.069 -- 0.18),20 (3.8 -- -10)
Rhineland-Palatinate,43249 (22541 -- 84567),Likely increasing,1.1 (0.86 -- 1.4),0.035 (-0.039 -- 0.11),20 (6.5 -- -18)
Saarland,17097 (9934 -- 29925),Likely increasing,1.2 (0.97 -- 1.5),0.059 (-0.0094 -- 0.12),12 (5.6 -- -74)
Saxony,68284 (34054 -- 144825),Likely increasing,1.3 (0.96 -- 1.7),0.074 (-0.0096 -- 0.19),9.4 (3.7 -- -72)
Saxony-Anhalt,28040 (15375 -- 51373),Likely increasing,1.1 (0.86 -- 1.4),0.027 (-0.039 -- 0.1),25 (6.7 -- -18)
Schleswig-Holstein,36962 (20898 -- 75977),Increasing,1.3 (1 -- 1.7),0.077 (0.013 -- 0.18),9 (3.8 -- 52)
Thuringia,34911 (18070 -- 71917),Likely increasing,1.2 (0.92 -- 1.6),0.056 (-0.021 -- 0.15),12 (4.6 -- -33)
Warmińsko-Mazurskie,1279 (589 -- 2627),Likely decreasing,0.93 (0.62 -- 1.3),-0.021 (-0.11 -- 0.083),-33 (8.4 -- -6.2)
Wielkopolskie,3712 (1747 -- 7200),Likely decreasing,0.92 (0.63 -- 1.3),-0.023 (-0.11 -- 0.069),-31 (10 -- -6.3)
Zachodniopomorskie,2341 (1058 -- 4882),Likely decreasing,0.94 (0.63 -- 1.3),-0.016 (-0.11 -- 0.083),-43 (8.4 -- -6.2)
Łódzkie,1765 (783 -- 3765),Stable,0.98 (0.64 -- 1.4),-0.0068 (-0.11 -- 0.1),-100 (6.6 -- -6.5)
Śląskie,2017 (818 -- 4824),Stable,1 (0.61 -- 1.5),0.0018 (-0.12 -- 0.14),390 (4.9 -- -6)
Świętokrzyskie,747 (387 -- 1381),Likely decreasing,0.92 (0.67 -- 1.2),-0.021 (-0.095 -- 0.058),-33 (12 -- -7.3)
