Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,4403 (1652 -- 13225),Likely increasing,1.1 (0.82 -- 1.4),0.018 (-0.051 -- 0.095),39 (7.3 -- -14)
Bavaria,4942 (1663 -- 12518),Likely increasing,1 (0.76 -- 1.3),0.012 (-0.069 -- 0.08),58 (8.6 -- -10)
Berlin,650 (220 -- 3936),Stable,1 (0.8 -- 1.6),0.0013 (-0.057 -- 0.14),520 (4.8 -- -12)
Brandenburg,964 (203 -- 3186),Stable,0.99 (0.63 -- 1.3),-0.002 (-0.11 -- 0.076),-350 (9.1 -- -6.4)
Bremen,230 (33 -- 1373),Likely decreasing,0.97 (0.6 -- 1.4),-0.0087 (-0.12 -- 0.096),-80 (7.2 -- -5.7)
Dolnośląskie,6787 (2767 -- 14748),Likely increasing,1.1 (0.85 -- 1.2),0.016 (-0.042 -- 0.058),43 (12 -- -17)
Germany,33374 (12932 -- 69983),Stable,1 (0.77 -- 1.3),0.0075 (-0.067 -- 0.069),92 (10 -- -10)
Hamburg,1460 (270 -- 17926),Likely increasing,1.2 (0.85 -- 2.2),0.056 (-0.043 -- 0.29),12 (2.4 -- -16)
Hesse,5538 (2063 -- 28871),Likely increasing,1.2 (0.91 -- 1.9),0.048 (-0.025 -- 0.23),15 (3 -- -27)
Kujawsko-Pomorskie,1657 (276 -- 6741),Likely decreasing,0.87 (0.52 -- 1.2),-0.037 (-0.14 -- 0.053),-19 (13 -- -4.9)
Lower Saxony,2147 (738 -- 7336),Stable,1 (0.78 -- 1.3),0.0036 (-0.063 -- 0.088),190 (7.9 -- -11)
Lubelskie,2131 (200 -- 6259),Likely decreasing,0.93 (0.48 -- 1.1),-0.021 (-0.16 -- 0.04),-34 (17 -- -4.4)
Lubuskie,3013 (578 -- 9086),Likely increasing,1 (0.7 -- 1.2),0.008 (-0.087 -- 0.06),87 (12 -- -8)
Mazowieckie,4078 (531 -- 10739),Likely decreasing,0.9 (0.47 -- 1.1),-0.027 (-0.16 -- 0.02),-25 (34 -- -4.3)
Małopolskie,1795 (191 -- 9901),Likely decreasing,0.76 (0.36 -- 1.2),-0.068 (-0.2 -- 0.055),-10 (13 -- -3.5)
Mecklenburg-Vorpommern,1076 (280 -- 5050),Likely increasing,1.1 (0.75 -- 1.6),0.025 (-0.072 -- 0.15),28 (4.7 -- -9.6)
North Rhine-Westphalia,4808 (594 -- 14771),Likely decreasing,0.93 (0.44 -- 1.2),-0.019 (-0.17 -- 0.062),-37 (11 -- -4)
Opolskie,407 (12 -- 4807),Likely decreasing,0.74 (0.25 -- 1.4),-0.075 (-0.24 -- 0.1),-9.2 (6.6 -- -2.9)
Podkarpackie,5671 (2189 -- 12478),Stable,1 (0.82 -- 1.2),0.0041 (-0.053 -- 0.05),170 (14 -- -13)
Podlaskie,2359 (1124 -- 6130),Likely increasing,1 (0.88 -- 1.2),0.0053 (-0.033 -- 0.055),130 (13 -- -21)
Poland,32539 (7098 -- 78624),Likely decreasing,0.87 (0.53 -- 1.1),-0.035 (-0.14 -- 0.02),-20 (35 -- -5)
Pomorskie,2412 (407 -- 6396),Likely decreasing,0.96 (0.62 -- 1.1),-0.0099 (-0.11 -- 0.035),-70 (20 -- -6.3)
Rhineland-Palatinate,1253 (243 -- 3922),Stable,1 (0.63 -- 1.3),0.006 (-0.11 -- 0.086),120 (8.1 -- -6.4)
Saarland,590 (38 -- 10029),Likely increasing,1.2 (0.63 -- 2.5),0.063 (-0.11 -- 0.36),11 (1.9 -- -6.4)
Saxony,14531 (3248 -- 79924),Likely increasing,1.3 (0.82 -- 2),0.069 (-0.049 -- 0.24),10 (2.8 -- -14)
Saxony-Anhalt,1363 (58 -- 7368),Likely decreasing,0.91 (0.31 -- 1.4),-0.026 (-0.22 -- 0.1),-27 (6.6 -- -3.2)
Schleswig-Holstein,388 (85 -- 2049),Stable,1 (0.69 -- 1.5),0.008 (-0.088 -- 0.13),87 (5.2 -- -7.9)
Thuringia,1317 (97 -- 3875),Likely decreasing,0.91 (0.41 -- 1.1),-0.026 (-0.18 -- 0.034),-27 (20 -- -3.8)
Warmińsko-Mazurskie,725 (140 -- 2402),Likely decreasing,0.87 (0.56 -- 1.2),-0.035 (-0.13 -- 0.044),-20 (16 -- -5.3)
Wielkopolskie,1473 (114 -- 6367),Likely decreasing,0.7 (0.28 -- 1),-0.087 (-0.23 -- 0.01),-7.9 (68 -- -3)
Zachodniopomorskie,3886 (1782 -- 10878),Likely increasing,1.1 (0.94 -- 1.4),0.031 (-0.017 -- 0.11),22 (6.6 -- -41)
Łódzkie,4866 (1018 -- 13148),Stable,1 (0.66 -- 1.3),0.0028 (-0.1 -- 0.068),240 (10 -- -6.9)
Śląskie,17268 (5518 -- 34038),Likely increasing,1.1 (0.81 -- 1.2),0.019 (-0.052 -- 0.046),37 (15 -- -13)
Świętokrzyskie,1957 (223 -- 8342),Likely decreasing,0.94 (0.52 -- 1.3),-0.016 (-0.14 -- 0.072),-44 (9.6 -- -4.9)
