region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Germany,986 (336 -- 2384),986,1170,1415,336,658,863,1134,1419,2384,New confirmed cases by infection date,Decreasing,0.95
Poland,398 (134 -- 1290),398,547,798,134,289,354,449,568,1290,New confirmed cases by infection date,Likely decreasing,0.94
North Rhine-Westphalia,391 (151 -- 1427),391,554,716,151,279,344,458,587,1427,New confirmed cases by infection date,Likely decreasing,0.88
Baden-Wurttemberg,277 (18 -- 964),277,365,508,18,121,212,337,451,964,New confirmed cases by infection date,Likely decreasing,0.89
Dolnośląskie,238 (30 -- 4320),238,1312,7635,30,85,149,349,710,4320,New confirmed cases by infection date,Stable,0.5
Saxony,113 (5 -- 3622),113,1565,12119,5,36,74,186,440,3622,New confirmed cases by infection date,Likely decreasing,0.61
Lower Saxony,112 (16 -- 408),112,159,247,16,63,92,135,178,408,New confirmed cases by infection date,Likely decreasing,0.9
Bavaria,84 (4 -- 428),84,213,1572,4,33,61,113,175,428,New confirmed cases by infection date,Likely decreasing,0.92
Hesse,82 (4 -- 344),82,149,435,4,33,60,106,153,344,New confirmed cases by infection date,Likely decreasing,0.92
Thuringia,78 (11 -- 471),78,153,354,11,43,62,97,144,471,New confirmed cases by infection date,Likely decreasing,0.88
Małopolskie,70 (10 -- 655),70,203,1226,10,38,56,88,138,655,New confirmed cases by infection date,Likely decreasing,0.82
Berlin,49 (4 -- 787),49,880,14398,4,24,39,65,111,787,New confirmed cases by infection date,Likely decreasing,0.8
Hamburg,47 (7 -- 325),47,185,2632,7,25,38,59,92,325,New confirmed cases by infection date,Likely decreasing,0.77
Lubelskie,44 (2 -- 238),44,124,668,2,21,34,54,79,238,New confirmed cases by infection date,Likely decreasing,0.88
Mecklenburg-Vorpommern,42 (3 -- 1482),42,297,1145,3,17,29,58,112,1482,New confirmed cases by infection date,Stable,0.59
Mazowieckie,37 (2 -- 204),37,75,234,2,18,30,46,67,204,New confirmed cases by infection date,Likely decreasing,0.9
Łódzkie,36 (7 -- 525),36,380,3767,7,21,29,48,82,525,New confirmed cases by infection date,Likely decreasing,0.79
Świętokrzyskie,35 (3 -- 474),35,1006,22176,3,18,28,46,71,474,New confirmed cases by infection date,Likely decreasing,0.84
Lubuskie,30 (1 -- 1512),30,584,5596,1,9,18,51,130,1512,New confirmed cases by infection date,Likely decreasing,0.64
Saarland,24 (0 -- 455),24,257,3940,0,7,17,36,75,455,New confirmed cases by infection date,Likely decreasing,0.74
Schleswig-Holstein,24 (0 -- 641),24,319,2769,0,8,17,35,73,641,New confirmed cases by infection date,Likely decreasing,0.69
Wielkopolskie,21 (0 -- 163),21,165,1994,0,6,14,28,43,163,New confirmed cases by infection date,Likely decreasing,0.89
Brandenburg,15 (0 -- 144),15,267,5649,0,1,7,25,48,144,New confirmed cases by infection date,Likely decreasing,0.9
Kujawsko-Pomorskie,14 (0 -- 213),14,74,463,0,3,9,21,38,213,New confirmed cases by infection date,Likely decreasing,0.86
Saxony-Anhalt,12 (0 -- 530),12,561,5172,0,4,8,20,44,530,New confirmed cases by infection date,Likely decreasing,0.78
Bremen,10 (0 -- 131),10,269,4999,0,2,6,16,29,131,New confirmed cases by infection date,Likely decreasing,0.79
