Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,8156 (711 -- 24794),Likely increasing,1.1 (0.47 -- 1.3),0.022 (-0.16 -- 0.084),32 (8.2 -- -4.3)
Bavaria,16508 (3473 -- 76599),Stable,0.97 (0.61 -- 1.4),-0.0078 (-0.11 -- 0.11),-89 (6.3 -- -6)
Berlin,1361 (429 -- 4387),Likely increasing,1.1 (0.87 -- 1.4),0.02 (-0.035 -- 0.095),36 (7.3 -- -20)
Brandenburg,6286 (2217 -- 31743),Likely increasing,1.2 (0.95 -- 1.6),0.05 (-0.014 -- 0.15),14 (4.6 -- -51)
Bremen,225 (33 -- 1777),Likely increasing,1 (0.69 -- 1.5),0.011 (-0.089 -- 0.14),65 (5.1 -- -7.8)
Dolnośląskie,10872 (3188 -- 121208),Likely increasing,1.2 (0.94 -- 1.8),0.057 (-0.018 -- 0.2),12 (3.5 -- -39)
Germany,72252 (23509 -- 191828),Likely increasing,1.1 (0.77 -- 1.3),0.023 (-0.064 -- 0.085),30 (8.1 -- -11)
Hamburg,291 (42 -- 1381),Likely decreasing,0.97 (0.64 -- 1.3),-0.0088 (-0.1 -- 0.07),-79 (9.9 -- -6.6)
Hesse,2180 (323 -- 8775),Stable,1 (0.58 -- 1.4),0.004 (-0.13 -- 0.11),170 (6.4 -- -5.5)
Kujawsko-Pomorskie,5402 (853 -- 39896),Stable,1 (0.61 -- 1.7),0.011 (-0.12 -- 0.17),65 (4.1 -- -6)
Lower Saxony,3588 (915 -- 10824),Likely increasing,1.1 (0.74 -- 1.4),0.028 (-0.073 -- 0.097),25 (7.2 -- -9.5)
Lubelskie,5772 (777 -- 27948),Likely decreasing,0.94 (0.55 -- 1.3),-0.018 (-0.13 -- 0.069),-39 (10 -- -5.2)
Lubuskie,9279 (1168 -- 50822),Likely increasing,1.3 (0.77 -- 1.7),0.085 (-0.065 -- 0.18),8.1 (3.8 -- -11)
Mazowieckie,10539 (2102 -- 42560),Stable,0.99 (0.62 -- 1.3),-0.0024 (-0.11 -- 0.073),-290 (9.5 -- -6.2)
Małopolskie,12840 (2347 -- 43566),Likely increasing,1.2 (0.73 -- 1.4),0.047 (-0.077 -- 0.11),15 (6.2 -- -9)
Mecklenburg-Vorpommern,1379 (328 -- 7245),Likely increasing,1.1 (0.84 -- 1.6),0.03 (-0.047 -- 0.14),23 (4.8 -- -15)
North Rhine-Westphalia,11875 (4328 -- 40398),Likely increasing,1.1 (0.85 -- 1.5),0.032 (-0.044 -- 0.12),22 (5.9 -- -16)
Opolskie,7596 (1404 -- 43846),Likely increasing,1.2 (0.77 -- 1.6),0.057 (-0.065 -- 0.16),12 (4.3 -- -11)
Podkarpackie,13399 (2004 -- 59676),Likely increasing,1.2 (0.7 -- 1.5),0.048 (-0.086 -- 0.12),14 (5.7 -- -8.1)
Podlaskie,5048 (714 -- 25245),Stable,1 (0.6 -- 1.3),4e-05 (-0.12 -- 0.079),17000 (8.8 -- -5.8)
Poland,133067 (39930 -- 355623),Likely increasing,1.1 (0.83 -- 1.3),0.033 (-0.049 -- 0.072),21 (9.6 -- -14)
Pomorskie,7587 (715 -- 50114),Likely increasing,1.2 (0.59 -- 1.8),0.048 (-0.12 -- 0.2),14 (3.4 -- -5.6)
Rhineland-Palatinate,2104 (847 -- 6254),Likely increasing,1.1 (0.88 -- 1.3),0.02 (-0.033 -- 0.07),35 (9.8 -- -21)
Saarland,585 (108 -- 2475),Likely increasing,1.1 (0.73 -- 1.4),0.025 (-0.078 -- 0.1),28 (7 -- -8.9)
Saxony,20566 (4903 -- 78564),Likely increasing,1.2 (0.81 -- 1.5),0.053 (-0.053 -- 0.13),13 (5.5 -- -13)
Saxony-Anhalt,2144 (154 -- 9530),Stable,1 (0.46 -- 1.4),0.0076 (-0.16 -- 0.1),91 (6.6 -- -4.3)
Schleswig-Holstein,578 (111 -- 1836),Likely increasing,1 (0.73 -- 1.3),0.013 (-0.078 -- 0.071),53 (9.8 -- -8.9)
Thuringia,15408 (4963 -- 79973),Likely increasing,1.2 (0.95 -- 1.6),0.052 (-0.015 -- 0.16),13 (4.4 -- -47)
Warmińsko-Mazurskie,5953 (1272 -- 22027),Likely increasing,1.2 (0.84 -- 1.5),0.043 (-0.046 -- 0.12),16 (5.9 -- -15)
Wielkopolskie,10132 (3621 -- 35661),Likely increasing,1.2 (0.96 -- 1.4),0.054 (-0.011 -- 0.11),13 (6.1 -- -62)
Zachodniopomorskie,6386 (1192 -- 20269),Likely increasing,1.2 (0.72 -- 1.4),0.048 (-0.082 -- 0.1),14 (6.7 -- -8.5)
Łódzkie,8559 (1741 -- 29251),Likely increasing,1.1 (0.82 -- 1.4),0.037 (-0.052 -- 0.095),19 (7.3 -- -13)
Śląskie,20322 (7517 -- 69304),Increasing,1.2 (1 -- 1.4),0.058 (0.0032 -- 0.11),12 (6.2 -- 220)
Świętokrzyskie,5663 (1263 -- 19690),Likely increasing,1.2 (0.86 -- 1.5),0.054 (-0.04 -- 0.12),13 (5.8 -- -17)
