Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,7345 (2242 -- 32429),Likely increasing,1.1 (0.88 -- 1.6),0.032 (-0.032 -- 0.14),22 (4.9 -- -21)
Bavaria,27736 (6597 -- 146209),Likely increasing,1.3 (0.88 -- 1.8),0.069 (-0.032 -- 0.2),10 (3.4 -- -21)
Berlin,938 (106 -- 2958),Likely increasing,1.1 (0.62 -- 1.3),0.019 (-0.11 -- 0.079),37 (8.8 -- -6.1)
Brandenburg,1677 (325 -- 7827),Likely increasing,1.1 (0.81 -- 1.4),0.033 (-0.054 -- 0.11),21 (6.2 -- -13)
Bremen,44 (0 -- 465),Likely decreasing,0.89 (0.37 -- 1.3),-0.031 (-0.19 -- 0.082),-22 (8.4 -- -3.6)
Dolnośląskie,2294 (425 -- 11652),Likely increasing,1.2 (0.81 -- 1.7),0.055 (-0.054 -- 0.17),13 (4.2 -- -13)
Germany,83663 (25463 -- 307699),Likely increasing,1.2 (0.9 -- 1.5),0.046 (-0.028 -- 0.14),15 (5 -- -24)
Hamburg,222 (1 -- 2077),Likely decreasing,0.88 (0.19 -- 1.4),-0.033 (-0.27 -- 0.098),-21 (7.1 -- -2.6)
Hesse,5601 (1114 -- 32410),Likely increasing,1.2 (0.8 -- 1.9),0.062 (-0.055 -- 0.22),11 (3.2 -- -12)
Kujawsko-Pomorskie,2784 (721 -- 17695),Likely increasing,1.2 (0.88 -- 1.8),0.052 (-0.034 -- 0.21),13 (3.4 -- -20)
Lower Saxony,2394 (751 -- 23460),Likely increasing,1.1 (0.91 -- 1.9),0.033 (-0.026 -- 0.23),21 (3 -- -26)
Lubelskie,20412 (6012 -- 83565),Likely increasing,1.2 (0.97 -- 1.5),0.064 (-0.009 -- 0.13),11 (5.4 -- -77)
Lubuskie,194 (5 -- 2907),Likely increasing,1.1 (0.42 -- 1.9),0.026 (-0.18 -- 0.22),27 (3.2 -- -3.9)
Mazowieckie,12590 (4040 -- 57769),Likely increasing,1.2 (0.95 -- 1.6),0.065 (-0.015 -- 0.14),11 (4.8 -- -45)
Małopolskie,3459 (1115 -- 21808),Likely increasing,1.2 (0.97 -- 1.6),0.05 (-0.0085 -- 0.17),14 (4.2 -- -81)
Mecklenburg-Vorpommern,844 (83 -- 4034),Likely increasing,1.1 (0.6 -- 1.4),0.031 (-0.12 -- 0.11),23 (6.1 -- -5.9)
North Rhine-Westphalia,5787 (1971 -- 22468),Likely increasing,1.1 (0.82 -- 1.4),0.02 (-0.05 -- 0.11),34 (6.5 -- -14)
Opolskie,1486 (218 -- 32663),Likely increasing,1.2 (0.75 -- 2.4),0.057 (-0.072 -- 0.35),12 (2 -- -9.6)
Podkarpackie,3061 (806 -- 26854),Likely increasing,1.2 (0.94 -- 1.8),0.048 (-0.018 -- 0.2),14 (3.4 -- -39)
Podlaskie,6421 (1149 -- 27373),Likely increasing,1.2 (0.8 -- 1.5),0.061 (-0.057 -- 0.14),11 (5.1 -- -12)
Poland,76757 (33162 -- 268626),Increasing,1.2 (1.1 -- 1.4),0.058 (0.02 -- 0.11),12 (6.3 -- 34)
Pomorskie,1041 (191 -- 14078),Likely increasing,1.2 (0.82 -- 2.1),0.047 (-0.05 -- 0.28),15 (2.5 -- -14)
Rhineland-Palatinate,1854 (630 -- 9263),Likely increasing,1.1 (0.9 -- 1.4),0.025 (-0.028 -- 0.11),28 (6.4 -- -24)
Saarland,506 (77 -- 5535),Likely increasing,1.1 (0.77 -- 1.8),0.037 (-0.065 -- 0.21),19 (3.3 -- -11)
Saxony,10440 (2732 -- 51746),Likely increasing,1.3 (0.9 -- 1.7),0.072 (-0.027 -- 0.19),9.7 (3.7 -- -26)
Saxony-Anhalt,2526 (407 -- 33011),Likely increasing,1.2 (0.8 -- 2.1),0.055 (-0.056 -- 0.26),13 (2.6 -- -12)
Schleswig-Holstein,400 (47 -- 2213),Likely increasing,1 (0.59 -- 1.4),0.0081 (-0.12 -- 0.098),86 (7.1 -- -5.8)
Thuringia,8037 (2339 -- 31936),Likely increasing,1.3 (0.93 -- 1.5),0.067 (-0.019 -- 0.14),10 (5.1 -- -37)
Warmińsko-Mazurskie,3101 (868 -- 16870),Likely increasing,1.3 (0.96 -- 1.8),0.07 (-0.011 -- 0.2),9.9 (3.4 -- -63)
Wielkopolskie,3850 (1131 -- 38693),Increasing,1.2 (1 -- 2.2),0.063 (0.0051 -- 0.28),11 (2.4 -- 140)
Zachodniopomorskie,2062 (565 -- 14732),Likely increasing,1.2 (0.96 -- 2),0.058 (-0.012 -- 0.25),12 (2.7 -- -60)
Łódzkie,5340 (1150 -- 27265),Likely increasing,1.2 (0.85 -- 1.7),0.061 (-0.043 -- 0.17),11 (4 -- -16)
Śląskie,5015 (1514 -- 23322),Likely increasing,1.2 (0.94 -- 1.6),0.059 (-0.018 -- 0.15),12 (4.6 -- -39)
Świętokrzyskie,1669 (43 -- 15399),Likely increasing,1.2 (0.34 -- 1.9),0.046 (-0.2 -- 0.21),15 (3.2 -- -3.4)
