Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,1452 (110 -- 6631),Likely decreasing,0.91 (0.38 -- 1.1),-0.026 (-0.19 -- 0.036),-26 (19 -- -3.6)
Bavaria,1906 (615 -- 5877),Likely decreasing,0.92 (0.71 -- 1.2),-0.022 (-0.085 -- 0.053),-32 (13 -- -8.2)
Berlin,1421 (413 -- 7976),Likely increasing,1.1 (0.86 -- 1.5),0.024 (-0.038 -- 0.14),29 (5 -- -18)
Brandenburg,722 (192 -- 3274),Stable,0.98 (0.71 -- 1.3),-0.0042 (-0.085 -- 0.088),-160 (7.9 -- -8.2)
Bremen,92 (1 -- 499),Likely decreasing,0.91 (0.31 -- 1.2),-0.026 (-0.22 -- 0.043),-26 (16 -- -3.2)
Dolnośląskie,67 (12 -- 378),Likely decreasing,0.88 (0.59 -- 1.3),-0.033 (-0.12 -- 0.072),-21 (9.6 -- -5.9)
Germany,13211 (4912 -- 32418),Likely decreasing,0.94 (0.75 -- 1.1),-0.018 (-0.071 -- 0.025),-39 (28 -- -9.8)
Hamburg,1222 (294 -- 5237),Likely increasing,1 (0.76 -- 1.4),0.011 (-0.068 -- 0.099),60 (7 -- -10)
Hesse,755 (110 -- 2238),Likely decreasing,0.93 (0.59 -- 1.1),-0.021 (-0.12 -- 0.02),-34 (34 -- -5.8)
Kujawsko-Pomorskie,93 (1 -- 4346),Stable,1.1 (0.42 -- 2.5),0.025 (-0.18 -- 0.36),27 (1.9 -- -4)
Lower Saxony,3376 (833 -- 10559),Stable,1 (0.74 -- 1.2),-0.0012 (-0.074 -- 0.057),-570 (12 -- -9.4)
Lubelskie,28 (3 -- 145),Likely decreasing,0.83 (0.53 -- 1.2),-0.048 (-0.14 -- 0.047),-14 (15 -- -4.9)
Lubuskie,96 (6 -- 5648),Stable,1 (0.58 -- 2.5),0.0063 (-0.13 -- 0.35),110 (2 -- -5.5)
Mazowieckie,578 (73 -- 17233),Likely increasing,1.2 (0.78 -- 2.7),0.043 (-0.061 -- 0.41),16 (1.7 -- -11)
Małopolskie,23 (1 -- 227),Likely decreasing,0.81 (0.39 -- 1.3),-0.055 (-0.19 -- 0.07),-13 (9.9 -- -3.7)
Mecklenburg-Vorpommern,389 (85 -- 2287),Likely decreasing,0.93 (0.69 -- 1.4),-0.02 (-0.091 -- 0.095),-35 (7.3 -- -7.6)
North Rhine-Westphalia,2744 (977 -- 7056),Likely decreasing,0.95 (0.77 -- 1.2),-0.015 (-0.066 -- 0.047),-46 (15 -- -11)
Opolskie,121 (5 -- 6341),Likely increasing,1.1 (0.54 -- 2.6),0.036 (-0.14 -- 0.38),19 (1.8 -- -5.1)
Podkarpackie,14 (0 -- 393),Likely decreasing,0.82 (0.4 -- 1.6),-0.051 (-0.18 -- 0.15),-14 (4.5 -- -3.8)
Podlaskie,10 (0 -- 208),Likely decreasing,0.84 (0.47 -- 1.5),-0.046 (-0.16 -- 0.13),-15 (5.3 -- -4.3)
Poland,736 (246 -- 3499),Likely decreasing,0.91 (0.7 -- 1.4),-0.025 (-0.089 -- 0.097),-28 (7.2 -- -7.8)
Pomorskie,18 (0 -- 232),Likely decreasing,0.75 (0.32 -- 1.3),-0.071 (-0.21 -- 0.074),-9.7 (9.3 -- -3.3)
Rhineland-Palatinate,691 (204 -- 2251),Likely decreasing,0.96 (0.74 -- 1.3),-0.01 (-0.074 -- 0.068),-66 (10 -- -9.4)
Saarland,142 (12 -- 799),Likely decreasing,0.87 (0.47 -- 1.2),-0.036 (-0.16 -- 0.062),-20 (11 -- -4.4)
Saxony,680 (65 -- 4325),Likely decreasing,0.81 (0.44 -- 1.2),-0.053 (-0.17 -- 0.05),-13 (14 -- -4)
Saxony-Anhalt,332 (56 -- 1372),Likely decreasing,0.86 (0.55 -- 1.2),-0.039 (-0.13 -- 0.051),-18 (14 -- -5.2)
Schleswig-Holstein,477 (101 -- 1670),Likely decreasing,0.95 (0.71 -- 1.2),-0.014 (-0.081 -- 0.056),-51 (12 -- -8.5)
Thuringia,782 (99 -- 2622),Likely decreasing,0.95 (0.58 -- 1.2),-0.014 (-0.12 -- 0.047),-51 (15 -- -5.6)
Warmińsko-Mazurskie,2 (0 -- 98),Likely decreasing,0.7 (0.27 -- 1.6),-0.086 (-0.23 -- 0.15),-8.1 (4.7 -- -3)
Wielkopolskie,48 (2 -- 336),Likely decreasing,0.84 (0.34 -- 1.3),-0.045 (-0.21 -- 0.081),-15 (8.6 -- -3.4)
Zachodniopomorskie,4 (0 -- 68),Likely decreasing,0.69 (0.22 -- 1.2),-0.088 (-0.25 -- 0.065),-7.8 (11 -- -2.8)
Łódzkie,11 (0 -- 93),Likely decreasing,0.76 (0.39 -- 1.1),-0.069 (-0.19 -- 0.039),-10 (18 -- -3.7)
Śląskie,52 (9 -- 414),Likely decreasing,0.84 (0.58 -- 1.3),-0.045 (-0.13 -- 0.069),-15 (10 -- -5.5)
Świętokrzyskie,14 (0 -- 158),Likely decreasing,0.79 (0.15 -- 1.2),-0.061 (-0.28 -- 0.058),-11 (12 -- -2.4)
