region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Germany,586544 (324847 -- 1084500),586544,633099,259162,324847,463228,536667,640959,748994,1084500,New confirmed cases by infection date,Likely decreasing,0.62
Bavaria,122608 (68764 -- 234199),122608,133869,55317,68764,97060,112041,134760,157290,234199,New confirmed cases by infection date,Stable,0.58
North Rhine-Westphalia,102815 (52850 -- 209370),102815,114585,53799,52850,78732,93785,113151,136170,209370,New confirmed cases by infection date,Likely decreasing,0.78
Baden-Wurttemberg,100937 (48954 -- 214666),100937,112826,58321,48954,74070,90551,112852,137063,214666,New confirmed cases by infection date,Likely decreasing,0.66
Lower Saxony,88191 (22852 -- 268716),88191,110508,102190,22852,54248,75418,102341,132432,268716,New confirmed cases by infection date,Likely increasing,0.32
Poland,32887 (18563 -- 73471),32887,37660,18818,18563,23178,28650,37834,46085,73471,New confirmed cases by infection date,Likely decreasing,0.88
Saxony,27780 (12749 -- 59168),27780,30704,15024,12749,20709,24785,30860,37118,59168,New confirmed cases by infection date,Likely decreasing,0.67
Berlin,26586 (10482 -- 87668),26586,35631,31733,10482,17668,22671,31241,42009,87668,New confirmed cases by infection date,Stable,0.46
Hesse,24647 (13037 -- 46628),24647,26799,11500,13037,19110,22382,27033,32035,46628,New confirmed cases by infection date,Likely decreasing,0.92
Saxony-Anhalt,21858 (10691 -- 48304),21858,24414,12168,10691,15869,19307,24523,29490,48304,New confirmed cases by infection date,Likely decreasing,0.67
Brandenburg,21501 (10886 -- 44181),21501,23705,10711,10886,16404,19338,23892,28661,44181,New confirmed cases by infection date,Stable,0.57
Rhineland-Palatinate,20525 (9838 -- 41284),20525,22284,10151,9838,15252,18224,22863,26968,41284,New confirmed cases by infection date,Likely decreasing,0.73
Thuringia,17284 (8381 -- 35416),17284,19133,9276,8381,12886,15516,19451,23114,35416,New confirmed cases by infection date,Likely increasing,0.34
Schleswig-Holstein,16457 (7826 -- 35865),16457,18454,9370,7826,12308,14697,18627,22307,35865,New confirmed cases by infection date,Likely increasing,0.29
Mecklenburg-Vorpommern,12913 (7238 -- 24205),12913,14102,6214,7238,10325,11753,13936,16504,24205,New confirmed cases by infection date,Stable,0.54
Hamburg,7191 (2630 -- 19559),7191,8694,6252,2630,4851,6206,8363,10706,19559,New confirmed cases by infection date,Likely decreasing,0.86
Saarland,6645 (3570 -- 13841),6645,7391,3347,3570,5153,6079,7354,8807,13841,New confirmed cases by infection date,Likely decreasing,0.73
Mazowieckie,5597 (2656 -- 11832),5597,6265,3040,2656,4273,5070,6262,7522,11832,New confirmed cases by infection date,Likely decreasing,0.81
Wielkopolskie,4780 (2235 -- 9750),4780,5264,2500,2235,3570,4306,5340,6369,9750,New confirmed cases by infection date,Likely decreasing,0.93
Śląskie,4778 (1705 -- 13720),4778,5840,4317,1705,3101,4102,5517,7054,13720,New confirmed cases by infection date,Stable,0.44
Bremen,3061 (1175 -- 8141),3061,3766,2973,1175,2075,2641,3555,4650,8141,New confirmed cases by infection date,Likely decreasing,0.75
Kujawsko-Pomorskie,2940 (1415 -- 5762),2940,3204,1471,1415,2160,2627,3285,3904,5762,New confirmed cases by infection date,Decreasing,0.98
Dolnośląskie,2615 (1085 -- 6548),2615,3065,1877,1085,1845,2274,3018,3739,6548,New confirmed cases by infection date,Likely decreasing,0.83
